,sched_dep_datetime (mod),dep_time,sched_dep_time,dep_delay,name,actual_delay,station,Wind Speed [in knots],Wind Gust [in knots],One hour precipitation [in inches],Pressure altimeter [in inches],Visibility [in miles],Sky Level 1 Coverage,Sky Level 2 Coverage,Sky Level 3 Coverage,Sky Level 4 Coverage
35,2013-01-02 08:51:00,08:29,08:30,-1.0,United Air Lines Inc.,-7.0,JFK,15.0,19.0,0.00,30.02,10.0,4.0,,,
36,2013-01-02 08:51:00,08:55,09:00,-5.0,American Airlines Inc.,0.0,JFK,15.0,19.0,0.00,30.02,10.0,4.0,,,
37,2013-01-02 08:51:00,09:03,09:00,3.0,Virgin America,-4.0,JFK,15.0,19.0,0.00,30.02,10.0,4.0,,,
38,2013-01-02 08:51:00,08:57,09:00,-3.0,Delta Air Lines Inc.,-60.0,JFK,15.0,19.0,0.00,30.02,10.0,4.0,,,
39,2013-01-02 09:51:00,10:04,09:45,19.0,JetBlue Airways,12.0,JFK,15.0,21.0,0.00,30.03,10.0,5.0,,,
40,2013-01-02 10:51:00,10:38,10:30,8.0,American Airlines Inc.,15.0,JFK,10.0,,0.00,30.04,10.0,5.0,,,
41,2013-01-02 11:51:00,11:31,11:30,1.0,Virgin America,-13.0,JFK,8.0,,0.00,30.04,10.0,5.0,,,
42,2013-01-02 11:51:00,11:25,11:30,-5.0,United Air Lines Inc.,-37.0,JFK,8.0,,0.00,30.04,10.0,5.0,,,
43,2013-01-02 11:51:00,12:04,12:00,4.0,American Airlines Inc.,5.0,JFK,8.0,,0.00,30.04,10.0,5.0,,,
44,2013-01-02 11:51:00,11:56,12:00,-4.0,Delta Air Lines Inc.,-24.0,JFK,8.0,,0.00,30.04,10.0,5.0,,,
45,2013-01-02 11:51:00,12:16,12:20,-4.0,JetBlue Airways,-15.0,JFK,8.0,,0.00,30.04,10.0,5.0,,,
46,2013-01-02 13:51:00,13:26,13:30,-4.0,Virgin America,-9.0,JFK,11.0,,0.00,30.08,10.0,2.0,4.0,,
47,2013-01-02 13:51:00,13:41,13:45,-4.0,American Airlines Inc.,-21.0,JFK,11.0,,0.00,30.08,10.0,2.0,4.0,,
48,2013-01-02 14:51:00,15:00,15:00,0.0,Delta Air Lines Inc.,-26.0,JFK,11.0,,0.00,30.09,10.0,2.0,4.0,,
49,2013-01-02 15:51:00,15:25,15:30,-5.0,United Air Lines Inc.,-28.0,JFK,12.0,16.0,0.00,30.08,10.0,2.0,3.0,4.0,
50,2013-01-02 16:51:00,16:27,16:30,-3.0,JetBlue Airways,-28.0,JFK,18.0,22.0,0.00,30.06,10.0,2.0,3.0,4.0,
51,2013-01-02 16:51:00,17:17,16:45,32.0,American Airlines Inc.,60.0,JFK,18.0,22.0,0.00,30.06,10.0,2.0,3.0,4.0,
52,2013-01-02 16:51:00,16:55,16:55,0.0,Virgin America,-35.0,JFK,18.0,22.0,0.00,30.06,10.0,2.0,3.0,4.0,
53,2013-01-02 17:51:00,17:24,17:25,-1.0,Delta Air Lines Inc.,10.0,JFK,13.0,21.0,0.00,30.02,10.0,2.0,3.0,4.0,
54,2013-01-02 17:51:00,17:46,17:50,-4.0,United Air Lines Inc.,-36.0,JFK,13.0,21.0,0.00,30.02,10.0,2.0,3.0,4.0,
55,2013-01-02 18:51:00,18:56,19:00,-4.0,Delta Air Lines Inc.,8.0,JFK,14.0,,0.00,30.04,10.0,2.0,3.0,4.0,
56,2013-01-02 18:51:00,19:05,19:05,0.0,American Airlines Inc.,-9.0,JFK,14.0,,0.00,30.04,10.0,2.0,3.0,4.0,
57,2013-01-02 19:51:00,19:58,20:00,-2.0,Virgin America,-24.0,JFK,12.0,19.0,0.00,30.05,10.0,2.0,3.0,4.0,
58,2013-01-02 20:51:00,20:47,20:40,7.0,JetBlue Airways,-23.0,JFK,17.0,22.0,0.00,30.07,10.0,2.0,4.0,,
59,2013-01-02 20:51:00,21:00,21:00,0.0,Delta Air Lines Inc.,5.0,JFK,17.0,22.0,0.00,30.07,10.0,2.0,4.0,,
60,2013-01-02 21:51:00,21:34,21:35,-1.0,American Airlines Inc.,-15.0,JFK,14.0,,0.00,30.09,10.0,2.0,4.0,,
61,2013-01-03 05:51:00,06:16,05:59,17.0,United Air Lines Inc.,14.0,JFK,14.0,,0.00,30.18,10.0,2.0,5.0,,
62,2013-01-03 06:51:00,06:56,07:00,-4.0,Delta Air Lines Inc.,-39.0,JFK,14.0,,0.00,30.19,10.0,2.0,5.0,,
63,2013-01-03 06:51:00,06:58,07:00,-2.0,Virgin America,-49.0,JFK,14.0,,0.00,30.19,10.0,2.0,5.0,,
64,2013-01-03 06:51:00,07:01,07:00,1.0,JetBlue Airways,-36.0,JFK,14.0,,0.00,30.19,10.0,2.0,5.0,,
65,2013-01-03 07:51:00,07:30,07:30,0.0,American Airlines Inc.,-46.0,JFK,11.0,,0.00,30.2,10.0,2.0,5.0,,
66,2013-01-03 08:51:00,08:25,08:29,-4.0,United Air Lines Inc.,-29.0,JFK,8.0,,0.00,30.19,10.0,2.0,5.0,,
67,2013-01-03 08:51:00,08:55,09:00,-5.0,American Airlines Inc.,-41.0,JFK,8.0,,0.00,30.19,10.0,2.0,5.0,,
68,2013-01-03 08:51:00,08:58,09:00,-2.0,Virgin America,-32.0,JFK,8.0,,0.00,30.19,10.0,2.0,5.0,,
69,2013-01-03 08:51:00,08:55,09:00,-5.0,Delta Air Lines Inc.,-35.0,JFK,8.0,,0.00,30.19,10.0,2.0,5.0,,
70,2013-01-03 09:51:00,09:41,09:45,-4.0,JetBlue Airways,-69.0,JFK,11.0,,0.00,30.18,10.0,2.0,5.0,,
71,2013-01-03 10:51:00,10:24,10:30,-6.0,American Airlines Inc.,-34.0,JFK,8.0,,0.00,30.19,10.0,2.0,5.0,,
72,2013-01-03 11:51:00,11:24,11:30,-6.0,Virgin America,-49.0,JFK,11.0,,0.00,30.2,10.0,2.0,4.0,,
73,2013-01-03 11:51:00,11:27,11:30,-3.0,United Air Lines Inc.,-51.0,JFK,11.0,,0.00,30.2,10.0,2.0,4.0,,
74,2013-01-03 11:51:00,12:33,12:00,33.0,Delta Air Lines Inc.,38.0,JFK,11.0,,0.00,30.2,10.0,2.0,4.0,,
75,2013-01-03 11:51:00,11:52,12:00,-8.0,American Airlines Inc.,-32.0,JFK,11.0,,0.00,30.2,10.0,2.0,4.0,,
76,2013-01-03 11:51:00,12:13,12:20,-7.0,JetBlue Airways,-59.0,JFK,11.0,,0.00,30.2,10.0,2.0,4.0,,
77,2013-01-03 13:51:00,13:26,13:30,-4.0,Virgin America,-50.0,JFK,9.0,,0.00,30.2,10.0,2.0,3.0,4.0,
78,2013-01-03 13:51:00,13:40,13:45,-5.0,American Airlines Inc.,-18.0,JFK,9.0,,0.00,30.2,10.0,2.0,3.0,4.0,
79,2013-01-03 14:51:00,14:54,15:00,-6.0,Delta Air Lines Inc.,-44.0,JFK,9.0,,0.00,30.21,10.0,2.0,3.0,4.0,
80,2013-01-03 15:51:00,15:47,15:40,7.0,United Air Lines Inc.,-8.0,JFK,7.0,,0.00,30.19,10.0,2.0,3.0,4.0,
81,2013-01-03 15:51:00,15:46,15:45,1.0,American Airlines Inc.,-18.0,JFK,7.0,,0.00,30.19,10.0,2.0,3.0,4.0,
82,2013-01-03 16:51:00,16:26,16:30,-4.0,JetBlue Airways,-63.0,JFK,9.0,,0.00,30.16,10.0,2.0,4.0,,
83,2013-01-03 16:51:00,17:20,16:45,35.0,American Airlines Inc.,47.0,JFK,9.0,,0.00,30.16,10.0,2.0,4.0,,
84,2013-01-03 16:51:00,17:21,16:55,26.0,Virgin America,9.0,JFK,9.0,,0.00,30.16,10.0,2.0,4.0,,
85,2013-01-03 16:51:00,16:59,17:00,-1.0,Delta Air Lines Inc.,-43.0,JFK,9.0,,0.00,30.16,10.0,2.0,4.0,,
86,2013-01-03 17:51:00,17:51,17:53,-2.0,United Air Lines Inc.,-24.0,JFK,11.0,,0.00,30.13,10.0,2.0,3.0,,
87,2013-01-03 18:51:00,18:58,19:00,-2.0,Delta Air Lines Inc.,-7.0,JFK,10.0,,0.00,30.11,10.0,2.0,3.0,,
88,2013-01-03 18:51:00,19:09,19:05,4.0,American Airlines Inc.,-36.0,JFK,10.0,,0.00,30.11,10.0,2.0,3.0,,
89,2013-01-03 19:51:00,20:19,20:00,19.0,Virgin America,-3.0,JFK,5.0,,0.00,30.09,10.0,2.0,3.0,,
90,2013-01-03 20:51:00,20:23,20:30,-7.0,United Air Lines Inc.,-33.0,JFK,7.0,,0.00,30.09,10.0,2.0,3.0,,
91,2013-01-03 20:51:00,21:01,20:40,21.0,JetBlue Airways,-11.0,JFK,7.0,,0.00,30.09,10.0,2.0,3.0,,
92,2013-01-03 20:51:00,21:14,21:00,14.0,Delta Air Lines Inc.,32.0,JFK,7.0,,0.00,30.09,10.0,2.0,3.0,,
93,2013-01-03 21:51:00,21:37,21:35,2.0,American Airlines Inc.,-50.0,JFK,9.0,,0.00,30.1,10.0,2.0,3.0,,
94,2013-01-04 05:51:00,06:06,05:59,7.0,United Air Lines Inc.,-23.0,JFK,14.0,,0.00,30.07,10.0,3.0,,,
95,2013-01-04 06:51:00,07:15,07:00,15.0,Delta Air Lines Inc.,-6.0,JFK,13.0,,0.00,30.08,10.0,2.0,,,
96,2013-01-04 06:51:00,07:21,07:00,21.0,JetBlue Airways,8.0,JFK,13.0,,0.00,30.08,10.0,2.0,,,
97,2013-01-04 06:51:00,07:00,07:00,0.0,Virgin America,-44.0,JFK,13.0,,0.00,30.08,10.0,2.0,,,
98,2013-01-04 07:51:00,07:28,07:30,-2.0,American Airlines Inc.,-38.0,JFK,10.0,,0.00,30.08,10.0,1.0,,,
99,2013-01-04 08:51:00,08:34,08:29,5.0,United Air Lines Inc.,-14.0,JFK,9.0,,0.00,30.08,10.0,1.0,,,
100,2013-01-04 08:51:00,08:56,09:00,-4.0,Virgin America,-14.0,JFK,9.0,,0.00,30.08,10.0,1.0,,,
101,2013-01-04 08:51:00,08:58,09:00,-2.0,American Airlines Inc.,-12.0,JFK,9.0,,0.00,30.08,10.0,1.0,,,
102,2013-01-04 08:51:00,08:58,09:00,-2.0,Delta Air Lines Inc.,-14.0,JFK,9.0,,0.00,30.08,10.0,1.0,,,
103,2013-01-04 09:51:00,10:01,09:45,16.0,JetBlue Airways,-10.0,JFK,11.0,,0.00,30.08,10.0,1.0,,,
104,2013-01-04 10:51:00,10:28,10:30,-2.0,American Airlines Inc.,0.0,JFK,12.0,,0.00,30.09,10.0,4.0,,,
105,2013-01-04 11:51:00,11:30,11:30,0.0,Virgin America,-37.0,JFK,11.0,,0.00,30.09,10.0,2.0,4.0,,
106,2013-01-04 11:51:00,11:18,11:30,-12.0,United Air Lines Inc.,-67.0,JFK,11.0,,0.00,30.09,10.0,2.0,4.0,,
107,2013-01-04 11:51:00,11:57,12:00,-3.0,American Airlines Inc.,-26.0,JFK,11.0,,0.00,30.09,10.0,2.0,4.0,,
108,2013-01-04 11:51:00,11:54,12:00,-6.0,Delta Air Lines Inc.,-44.0,JFK,11.0,,0.00,30.09,10.0,2.0,4.0,,
109,2013-01-04 11:51:00,12:20,12:20,0.0,JetBlue Airways,-34.0,JFK,11.0,,0.00,30.09,10.0,2.0,4.0,,
110,2013-01-04 13:51:00,13:28,13:30,-2.0,Virgin America,-36.0,JFK,13.0,,0.00,30.11,10.0,2.0,4.0,4.0,
111,2013-01-04 13:51:00,13:40,13:45,-5.0,American Airlines Inc.,-38.0,JFK,13.0,,0.00,30.11,10.0,2.0,4.0,4.0,
112,2013-01-04 14:51:00,14:57,15:00,-3.0,Delta Air Lines Inc.,-16.0,JFK,14.0,,0.00,30.11,10.0,2.0,4.0,,
113,2013-01-04 15:51:00,15:47,15:40,7.0,United Air Lines Inc.,-13.0,JFK,13.0,23.0,0.00,30.08,10.0,4.0,,,
114,2013-01-04 15:51:00,17:03,15:45,78.0,American Airlines Inc.,129.0,JFK,13.0,23.0,0.00,30.08,10.0,4.0,,,
115,2013-01-04 16:51:00,16:28,16:30,-2.0,JetBlue Airways,-54.0,JFK,15.0,,0.00,30.04,10.0,4.0,,,
116,2013-01-04 16:51:00,16:44,16:45,-1.0,American Airlines Inc.,-37.0,JFK,15.0,,0.00,30.04,10.0,4.0,,,
117,2013-01-04 16:51:00,17:14,16:55,19.0,Virgin America,-1.0,JFK,15.0,,0.00,30.04,10.0,4.0,,,
118,2013-01-04 16:51:00,16:55,17:00,-5.0,Delta Air Lines Inc.,-37.0,JFK,15.0,,0.00,30.04,10.0,4.0,,,
119,2013-01-04 17:51:00,17:56,17:53,3.0,United Air Lines Inc.,-25.0,JFK,16.0,23.0,0.00,30.01,10.0,4.0,,,
120,2013-01-04 18:51:00,18:59,19:00,-1.0,Delta Air Lines Inc.,-39.0,JFK,17.0,26.0,0.00,29.99,10.0,3.0,,,
121,2013-01-04 18:51:00,19:46,19:05,41.0,American Airlines Inc.,42.0,JFK,17.0,26.0,0.00,29.99,10.0,3.0,,,
122,2013-01-04 19:51:00,20:17,20:00,17.0,Virgin America,9.0,JFK,18.0,26.0,0.00,29.97,10.0,2.0,,,
123,2013-01-04 20:51:00,20:19,20:30,-11.0,United Air Lines Inc.,-51.0,JFK,18.0,23.0,0.00,29.97,10.0,2.0,,,
124,2013-01-04 20:51:00,20:46,20:40,6.0,JetBlue Airways,-11.0,JFK,18.0,23.0,0.00,29.97,10.0,2.0,,,
125,2013-01-04 20:51:00,20:59,21:00,-1.0,Delta Air Lines Inc.,-43.0,JFK,18.0,23.0,0.00,29.97,10.0,2.0,,,
126,2013-01-04 21:51:00,21:30,21:35,-5.0,American Airlines Inc.,-50.0,JFK,17.0,,0.00,29.98,10.0,2.0,3.0,,
127,2013-01-05 05:51:00,05:57,06:01,-4.0,United Air Lines Inc.,-27.0,JFK,13.0,,0.00,30.04,10.0,1.0,,,
128,2013-01-05 06:51:00,07:00,07:00,0.0,Virgin America,-11.0,JFK,15.0,21.0,0.00,30.06,10.0,1.0,,,
129,2013-01-05 08:51:00,08:36,08:30,6.0,United Air Lines Inc.,12.0,JFK,12.0,21.0,0.00,30.1,10.0,2.0,,,
130,2013-01-05 08:51:00,08:51,09:00,-9.0,American Airlines Inc.,-23.0,JFK,12.0,21.0,0.00,30.1,10.0,2.0,,,
131,2013-01-05 08:51:00,08:57,09:00,-3.0,Delta Air Lines Inc.,-5.0,JFK,12.0,21.0,0.00,30.1,10.0,2.0,,,
132,2013-01-05 08:51:00,08:57,09:00,-3.0,Virgin America,-3.0,JFK,12.0,21.0,0.00,30.1,10.0,2.0,,,
133,2013-01-05 09:51:00,09:43,09:45,-2.0,JetBlue Airways,-17.0,JFK,11.0,,0.00,30.13,10.0,3.0,,,
134,2013-01-05 10:51:00,10:31,10:30,1.0,American Airlines Inc.,2.0,JFK,14.0,,0.00,30.16,10.0,4.0,,,
135,2013-01-05 11:51:00,11:28,11:30,-2.0,United Air Lines Inc.,-13.0,JFK,9.0,,0.00,30.19,10.0,4.0,,,
136,2013-01-05 11:51:00,11:42,11:30,12.0,Virgin America,17.0,JFK,9.0,,0.00,30.19,10.0,4.0,,,
137,2013-01-05 11:51:00,13:08,12:00,68.0,American Airlines Inc.,139.0,JFK,9.0,,0.00,30.19,10.0,4.0,,,
138,2013-01-05 11:51:00,11:51,12:00,-9.0,Delta Air Lines Inc.,-42.0,JFK,9.0,,0.00,30.19,10.0,4.0,,,
139,2013-01-05 11:51:00,12:20,12:20,0.0,JetBlue Airways,-1.0,JFK,9.0,,0.00,30.19,10.0,4.0,,,
140,2013-01-05 13:51:00,13:33,13:30,3.0,Virgin America,-8.0,JFK,11.0,,0.00,30.26,10.0,2.0,3.0,,
141,2013-01-05 13:51:00,13:46,13:45,1.0,American Airlines Inc.,-9.0,JFK,11.0,,0.00,30.26,10.0,2.0,3.0,,
142,2013-01-05 14:51:00,15:44,15:00,44.0,Delta Air Lines Inc.,83.0,JFK,9.0,,0.00,30.27,10.0,2.0,3.0,,
143,2013-01-05 15:51:00,15:35,15:40,-5.0,United Air Lines Inc.,-11.0,JFK,18.0,24.0,0.00,30.26,10.0,2.0,3.0,,
144,2013-01-05 15:51:00,15:39,15:45,-6.0,American Airlines Inc.,-22.0,JFK,18.0,24.0,0.00,30.26,10.0,2.0,3.0,,
145,2013-01-05 16:51:00,16:31,16:30,1.0,JetBlue Airways,-23.0,JFK,15.0,21.0,0.00,30.27,10.0,2.0,3.0,,
146,2013-01-05 16:51:00,16:41,16:45,-4.0,American Airlines Inc.,-32.0,JFK,15.0,21.0,0.00,30.27,10.0,2.0,3.0,,
147,2013-01-05 16:51:00,17:04,16:55,9.0,Virgin America,-2.0,JFK,15.0,21.0,0.00,30.27,10.0,2.0,3.0,,
148,2013-01-05 16:51:00,17:19,17:05,14.0,Delta Air Lines Inc.,2.0,JFK,15.0,21.0,0.00,30.27,10.0,2.0,3.0,,
149,2013-01-05 18:51:00,18:57,19:00,-3.0,United Air Lines Inc.,-5.0,JFK,8.0,,0.00,30.24,10.0,2.0,3.0,,
150,2013-01-05 18:51:00,19:00,19:00,0.0,Delta Air Lines Inc.,-23.0,JFK,8.0,,0.00,30.24,10.0,2.0,3.0,,
151,2013-01-05 18:51:00,19:03,19:05,-2.0,American Airlines Inc.,-6.0,JFK,8.0,,0.00,30.24,10.0,2.0,3.0,,
152,2013-01-05 19:51:00,20:08,20:00,8.0,Virgin America,13.0,JFK,10.0,,0.00,30.24,10.0,3.0,,,
153,2013-01-05 20:51:00,20:45,20:40,5.0,JetBlue Airways,-12.0,JFK,7.0,,0.00,30.25,10.0,3.0,,,
154,2013-01-05 21:51:00,21:46,21:35,11.0,American Airlines Inc.,21.0,JFK,7.0,,0.00,30.25,10.0,3.0,,,
155,2013-01-06 06:51:00,06:56,07:00,-4.0,JetBlue Airways,-17.0,JFK,6.0,,0.00,30.24,10.0,5.0,,,
156,2013-01-06 06:51:00,06:56,07:00,-4.0,Virgin America,-31.0,JFK,6.0,,0.00,30.24,10.0,5.0,,,
157,2013-01-06 07:51:00,07:30,07:30,0.0,American Airlines Inc.,-7.0,JFK,7.0,,0.00,30.21,9.0,4.0,5.0,,
158,2013-01-06 08:51:00,08:38,08:30,8.0,United Air Lines Inc.,13.0,JFK,7.0,,0.00,30.19,10.0,5.0,,,
159,2013-01-06 08:51:00,08:58,09:00,-2.0,Delta Air Lines Inc.,-19.0,JFK,7.0,,0.00,30.19,10.0,5.0,,,
160,2013-01-06 08:51:00,08:58,09:00,-2.0,Virgin America,0.0,JFK,7.0,,0.00,30.19,10.0,5.0,,,
161,2013-01-06 08:51:00,09:05,09:00,5.0,American Airlines Inc.,19.0,JFK,7.0,,0.00,30.19,10.0,5.0,,,
162,2013-01-06 09:51:00,09:54,09:45,9.0,JetBlue Airways,10.0,JFK,8.0,,T,30.16,3.0,3.0,4.0,5.0,
163,2013-01-06 10:51:00,10:27,10:30,-3.0,American Airlines Inc.,-8.0,JFK,7.0,,T,30.15,4.0,4.0,5.0,,
164,2013-01-06 11:51:00,11:29,11:30,-1.0,United Air Lines Inc.,-3.0,JFK,7.0,,T,30.14,6.0,4.0,5.0,,
165,2013-01-06 11:51:00,11:31,11:30,1.0,Virgin America,-11.0,JFK,7.0,,T,30.14,6.0,4.0,5.0,,
166,2013-01-06 11:51:00,11:53,12:00,-7.0,Delta Air Lines Inc.,-36.0,JFK,7.0,,T,30.14,6.0,4.0,5.0,,
167,2013-01-06 11:51:00,11:58,12:00,-2.0,American Airlines Inc.,-9.0,JFK,7.0,,T,30.14,6.0,4.0,5.0,,
168,2013-01-06 11:51:00,12:15,12:20,-5.0,JetBlue Airways,-18.0,JFK,7.0,,T,30.14,6.0,4.0,5.0,,
169,2013-01-06 13:51:00,13:27,13:30,-3.0,Virgin America,-24.0,JFK,11.0,,0.00,30.14,8.0,3.0,5.0,,
170,2013-01-06 13:51:00,13:42,13:45,-3.0,American Airlines Inc.,-4.0,JFK,11.0,,0.00,30.14,8.0,3.0,5.0,,
171,2013-01-06 14:51:00,15:00,15:00,0.0,Delta Air Lines Inc.,-3.0,JFK,9.0,,0.00,30.13,9.0,4.0,4.0,4.0,
172,2013-01-06 15:51:00,15:30,15:30,0.0,United Air Lines Inc.,-10.0,JFK,8.0,,0.00,30.1,9.0,3.0,4.0,4.0,
173,2013-01-06 15:51:00,15:44,15:45,-1.0,American Airlines Inc.,-20.0,JFK,8.0,,0.00,30.1,9.0,3.0,4.0,4.0,
174,2013-01-06 16:51:00,16:31,16:30,1.0,JetBlue Airways,-15.0,JFK,11.0,,0.00,30.06,9.0,2.0,,,
175,2013-01-06 16:51:00,16:43,16:45,-2.0,American Airlines Inc.,-15.0,JFK,11.0,,0.00,30.06,9.0,2.0,,,
176,2013-01-06 16:51:00,16:53,16:55,-2.0,Virgin America,-37.0,JFK,11.0,,0.00,30.06,9.0,2.0,,,
177,2013-01-06 16:51:00,16:57,17:00,-3.0,Delta Air Lines Inc.,-14.0,JFK,11.0,,0.00,30.06,9.0,2.0,,,
178,2013-01-06 17:51:00,17:46,17:51,-5.0,United Air Lines Inc.,-27.0,JFK,11.0,,0.00,30.03,9.0,2.0,,,
179,2013-01-06 18:51:00,18:58,19:00,-2.0,Delta Air Lines Inc.,-21.0,JFK,9.0,,0.00,30.01,10.0,2.0,3.0,,
180,2013-01-06 18:51:00,18:56,19:05,-9.0,American Airlines Inc.,-27.0,JFK,9.0,,0.00,30.01,10.0,2.0,3.0,,
181,2013-01-06 19:51:00,20:11,20:00,11.0,Virgin America,-5.0,JFK,9.0,,0.00,29.99,10.0,2.0,,,
182,2013-01-06 20:51:00,20:21,20:25,-4.0,United Air Lines Inc.,-40.0,JFK,9.0,,0.00,29.99,10.0,2.0,3.0,,
183,2013-01-06 20:51:00,20:36,20:40,-4.0,JetBlue Airways,-24.0,JFK,9.0,,0.00,29.99,10.0,2.0,3.0,,
184,2013-01-06 20:51:00,20:53,21:00,-7.0,Delta Air Lines Inc.,-20.0,JFK,9.0,,0.00,29.99,10.0,2.0,3.0,,
185,2013-01-06 21:51:00,21:41,21:35,6.0,American Airlines Inc.,6.0,JFK,10.0,,0.00,30.0,10.0,2.0,3.0,,
186,2013-01-07 05:51:00,06:20,06:01,19.0,United Air Lines Inc.,3.0,JFK,13.0,18.0,0.00,30.07,10.0,2.0,,,
