date,dep_time,sched_dep_time,sched_dep_time (modified),dep_delay,tailnum,air_time,name
2013-01-02,11:56,12:00,11:51,-4.0,N624AG,348.0,Delta Air Lines Inc.
2013-01-02,12:16,12:20,11:51,-4.0,N796JB,337.0,JetBlue Airways
2013-01-02,13:26,13:30,13:51,-4.0,N635VA,361.0,Virgin America
2013-01-02,13:41,13:45,13:51,-4.0,N332AA,344.0,American Airlines Inc.
2013-01-02,15:00,15:00,14:51,0.0,N718TW,341.0,Delta Air Lines Inc.
2013-01-02,15:25,15:30,15:51,-5.0,N532UA,341.0,United Air Lines Inc.
2013-01-02,16:27,16:30,16:51,-3.0,N779JB,321.0,JetBlue Airways
2013-01-02,17:17,16:45,16:51,32.0,N338AA,335.0,American Airlines Inc.
2013-01-02,16:55,16:55,16:51,0.0,N841VA,330.0,Virgin America
2013-01-02,17:24,17:25,17:51,-1.0,N712TW,381.0,Delta Air Lines Inc.
2013-01-02,17:46,17:50,17:51,-4.0,N512UA,325.0,United Air Lines Inc.
2013-01-02,18:56,19:00,18:51,-4.0,N703TW,371.0,Delta Air Lines Inc.
2013-01-02,19:05,19:05,18:51,0.0,N339AA,333.0,American Airlines Inc.
2013-01-02,19:58,20:00,19:51,-2.0,N622VA,335.0,Virgin America
2013-01-02,20:47,20:40,20:51,7.0,N583JB,316.0,JetBlue Airways
2013-01-02,21:00,21:00,20:51,0.0,N711ZX,367.0,Delta Air Lines Inc.
2013-01-02,21:34,21:35,21:51,-1.0,N322AA,340.0,American Airlines Inc.
2013-01-03,06:16,05:59,05:51,17.0,N18119,335.0,United Air Lines Inc.
2013-01-03,06:56,07:00,06:51,-4.0,N624AG,319.0,Delta Air Lines Inc.
2013-01-03,06:58,07:00,06:51,-2.0,N638VA,316.0,Virgin America
2013-01-03,07:01,07:00,06:51,1.0,N624JB,313.0,JetBlue Airways
2013-01-03,07:30,07:30,07:51,0.0,N336AA,313.0,American Airlines Inc.
2013-01-03,08:25,08:29,08:51,-4.0,N512UA,321.0,United Air Lines Inc.
2013-01-03,08:55,09:00,08:51,-5.0,N327AA,323.0,American Airlines Inc.
2013-01-03,08:58,09:00,08:51,-2.0,N631VA,322.0,Virgin America
2013-01-03,08:55,09:00,08:51,-5.0,N711ZX,327.0,Delta Air Lines Inc.
2013-01-03,09:41,09:45,09:51,-4.0,N789JB,297.0,JetBlue Airways
2013-01-03,10:24,10:30,10:51,-6.0,N323AA,322.0,American Airlines Inc.
2013-01-03,11:24,11:30,11:51,-6.0,N621VA,320.0,Virgin America
2013-01-03,11:27,11:30,11:51,-3.0,N510UA,305.0,United Air Lines Inc.
2013-01-03,12:33,12:00,11:51,33.0,N727TW,324.0,Delta Air Lines Inc.
2013-01-03,11:52,12:00,11:51,-8.0,N328AA,325.0,American Airlines Inc.
2013-01-03,12:13,12:20,11:51,-7.0,N766JB,308.0,JetBlue Airways
2013-01-03,13:26,13:30,13:51,-4.0,N624VA,320.0,Virgin America
2013-01-03,13:40,13:45,13:51,-5.0,N325AA,331.0,American Airlines Inc.
2013-01-03,14:54,15:00,14:51,-6.0,N705TW,321.0,Delta Air Lines Inc.
2013-01-03,15:47,15:40,15:51,7.0,N12116,323.0,United Air Lines Inc.
2013-01-03,15:46,15:45,15:51,1.0,N319AA,319.0,American Airlines Inc.
2013-01-03,16:26,16:30,16:51,-4.0,N652JB,301.0,JetBlue Airways
2013-01-03,17:20,16:45,16:51,35.0,N322AA,319.0,American Airlines Inc.
2013-01-03,17:21,16:55,16:51,26.0,N641VA,321.0,Virgin America
2013-01-03,16:59,17:00,16:51,-1.0,N712TW,322.0,Delta Air Lines Inc.
2013-01-03,17:51,17:53,17:51,-2.0,N532UA,320.0,United Air Lines Inc.
2013-01-03,18:58,19:00,18:51,-2.0,N711ZX,348.0,Delta Air Lines Inc.
2013-01-03,19:09,19:05,18:51,4.0,N338AA,293.0,American Airlines Inc.
2013-01-03,20:19,20:00,19:51,19.0,N623VA,309.0,Virgin America
2013-01-03,20:23,20:30,20:51,-7.0,N517UA,309.0,United Air Lines Inc.
2013-01-03,21:01,20:40,20:51,21.0,N590JB,301.0,JetBlue Airways
2013-01-03,21:14,21:00,20:51,14.0,N718TW,347.0,Delta Air Lines Inc.
2013-01-03,21:37,21:35,21:51,2.0,N336AA,299.0,American Airlines Inc.
2013-01-04,06:06,05:59,05:51,7.0,N19117,307.0,United Air Lines Inc.
2013-01-04,07:15,07:00,06:51,15.0,N727TW,322.0,Delta Air Lines Inc.
2013-01-04,07:21,07:00,06:51,21.0,N646JB,302.0,JetBlue Airways
2013-01-04,07:00,07:00,06:51,0.0,N633VA,318.0,Virgin America
2013-01-04,07:28,07:30,07:51,-2.0,N323AA,327.0,American Airlines Inc.
2013-01-04,08:34,08:29,08:51,5.0,N34137,321.0,United Air Lines Inc.
2013-01-04,08:56,09:00,08:51,-4.0,N629VA,311.0,Virgin America
2013-01-04,08:58,09:00,08:51,-2.0,N328AA,327.0,American Airlines Inc.
2013-01-04,08:58,09:00,08:51,-2.0,N705TW,336.0,Delta Air Lines Inc.
2013-01-04,10:01,09:45,09:51,16.0,N729JB,310.0,JetBlue Airways
2013-01-04,10:28,10:30,10:51,-2.0,N327AA,334.0,American Airlines Inc.
2013-01-04,11:30,11:30,11:51,0.0,N634VA,318.0,Virgin America
2013-01-04,11:18,11:30,11:51,-12.0,N512UA,309.0,United Air Lines Inc.
2013-01-04,11:57,12:00,11:51,-3.0,N322AA,327.0,American Airlines Inc.
2013-01-04,11:54,12:00,11:51,-6.0,N706TW,331.0,Delta Air Lines Inc.
2013-01-04,12:20,12:20,11:51,0.0,N807JB,312.0,JetBlue Airways
2013-01-04,13:28,13:30,13:51,-2.0,N631VA,333.0,Virgin America
2013-01-04,13:40,13:45,13:51,-5.0,N319AA,325.0,American Airlines Inc.
2013-01-04,14:57,15:00,14:51,-3.0,N710TW,337.0,Delta Air Lines Inc.
2013-01-04,15:47,15:40,15:51,7.0,N18112,324.0,United Air Lines Inc.
2013-01-04,17:03,15:45,15:51,78.0,N325AA,328.0,American Airlines Inc.
2013-01-04,16:28,16:30,16:51,-2.0,N641JB,316.0,JetBlue Airways
2013-01-04,16:44,16:45,16:51,-1.0,N336AA,326.0,American Airlines Inc.
2013-01-04,17:14,16:55,16:51,19.0,N628VA,326.0,Virgin America
2013-01-04,16:55,17:00,16:51,-5.0,N718TW,334.0,Delta Air Lines Inc.
2013-01-04,17:56,17:53,17:51,3.0,N517UA,317.0,United Air Lines Inc.
2013-01-04,18:59,19:00,18:51,-1.0,N705TW,328.0,Delta Air Lines Inc.
2013-01-04,19:46,19:05,18:51,41.0,N338AA,312.0,American Airlines Inc.
2013-01-04,20:17,20:00,19:51,17.0,N625VA,333.0,Virgin America
2013-01-04,20:19,20:30,20:51,-11.0,N557UA,312.0,United Air Lines Inc.
2013-01-04,20:46,20:40,20:51,6.0,N796JB,320.0,JetBlue Airways
2013-01-04,20:59,21:00,20:51,-1.0,N727TW,318.0,Delta Air Lines Inc.
2013-01-04,21:30,21:35,21:51,-5.0,N323AA,315.0,American Airlines Inc.
2013-01-05,05:57,06:01,05:51,-4.0,N34137,333.0,United Air Lines Inc.
2013-01-05,07:00,07:00,06:51,0.0,N641VA,346.0,Virgin America
2013-01-05,08:36,08:30,08:51,6.0,N12116,346.0,United Air Lines Inc.
2013-01-05,08:51,09:00,08:51,-9.0,N328AA,343.0,American Airlines Inc.
2013-01-05,08:57,09:00,08:51,-3.0,N705TW,344.0,Delta Air Lines Inc.
2013-01-05,08:57,09:00,08:51,-3.0,N638VA,347.0,Virgin America
2013-01-05,09:43,09:45,09:51,-2.0,N590JB,343.0,JetBlue Airways
2013-01-05,10:31,10:30,10:51,1.0,N322AA,348.0,American Airlines Inc.
2013-01-05,11:28,11:30,11:51,-2.0,N532UA,347.0,United Air Lines Inc.
2013-01-05,11:42,11:30,11:51,12.0,N629VA,348.0,Virgin America
2013-01-05,13:08,12:00,11:51,68.0,N329AA,346.0,American Airlines Inc.
2013-01-05,11:51,12:00,11:51,-9.0,N702TW,344.0,Delta Air Lines Inc.
2013-01-05,12:20,12:20,11:51,0.0,N593JB,341.0,JetBlue Airways
2013-01-05,13:33,13:30,13:51,3.0,N634VA,352.0,Virgin America
2013-01-05,13:46,13:45,13:51,1.0,N336AA,350.0,American Airlines Inc.
2013-01-05,15:44,15:00,14:51,44.0,N703TW,335.0,Delta Air Lines Inc.
2013-01-05,15:35,15:40,15:51,-5.0,N517UA,349.0,United Air Lines Inc.
2013-01-05,15:39,15:45,15:51,-6.0,N332AA,340.0,American Airlines Inc.
2013-01-05,16:31,16:30,16:51,1.0,N807JB,335.0,JetBlue Airways
2013-01-05,16:41,16:45,16:51,-4.0,N323AA,335.0,American Airlines Inc.
2013-01-05,17:04,16:55,16:51,9.0,N626VA,348.0,Virgin America
2013-01-05,17:19,17:05,16:51,14.0,N711ZX,342.0,Delta Air Lines Inc.
2013-01-05,18:57,19:00,18:51,-3.0,N557UA,344.0,United Air Lines Inc.
2013-01-05,19:00,19:00,18:51,0.0,N727TW,351.0,Delta Air Lines Inc.
2013-01-05,19:03,19:05,18:51,-2.0,N335AA,350.0,American Airlines Inc.
2013-01-05,20:08,20:00,19:51,8.0,N635VA,353.0,Virgin America
2013-01-05,20:45,20:40,20:51,5.0,N652JB,339.0,JetBlue Airways
2013-01-05,21:46,21:35,21:51,11.0,N320AA,346.0,American Airlines Inc.
2013-01-06,06:56,07:00,06:51,-4.0,N804JB,337.0,JetBlue Airways
2013-01-06,06:56,07:00,06:51,-4.0,N626VA,338.0,Virgin America
2013-01-06,07:30,07:30,07:51,0.0,N329AA,354.0,American Airlines Inc.
2013-01-06,08:38,08:30,08:51,8.0,N12116,332.0,United Air Lines Inc.
2013-01-06,08:58,09:00,08:51,-2.0,N702TW,323.0,Delta Air Lines Inc.
2013-01-06,08:58,09:00,08:51,-2.0,N632VA,348.0,Virgin America
2013-01-06,09:05,09:00,08:51,5.0,N327AA,344.0,American Airlines Inc.
2013-01-06,09:54,09:45,09:51,9.0,N583JB,343.0,JetBlue Airways
2013-01-06,10:27,10:30,10:51,-3.0,N328AA,344.0,American Airlines Inc.
2013-01-06,11:29,11:30,11:51,-1.0,N554UA,346.0,United Air Lines Inc.
2013-01-06,11:31,11:30,11:51,1.0,N638VA,342.0,Virgin America
2013-01-06,11:53,12:00,11:51,-7.0,N711ZX,337.0,Delta Air Lines Inc.
2013-01-06,11:58,12:00,11:51,-2.0,N324AA,344.0,American Airlines Inc.
2013-01-06,12:15,12:20,11:51,-5.0,N641JB,343.0,JetBlue Airways
2013-01-06,13:27,13:30,13:51,-3.0,N621VA,347.0,Virgin America
2013-01-06,13:42,13:45,13:51,-3.0,N322AA,342.0,American Airlines Inc.
2013-01-06,15:00,15:00,14:51,0.0,N717TW,345.0,Delta Air Lines Inc.
2013-01-06,15:30,15:30,15:51,0.0,N14102,328.0,United Air Lines Inc.
2013-01-06,15:44,15:45,15:51,-1.0,N338AA,332.0,American Airlines Inc.
2013-01-06,16:31,16:30,16:51,1.0,N648JB,332.0,JetBlue Airways
2013-01-06,16:43,16:45,16:51,-2.0,N320AA,338.0,American Airlines Inc.
2013-01-06,16:53,16:55,16:51,-2.0,N640VA,339.0,Virgin America
2013-01-06,16:57,17:00,16:51,-3.0,N703TW,349.0,Delta Air Lines Inc.
2013-01-06,17:46,17:51,17:51,-5.0,N557UA,334.0,United Air Lines Inc.
2013-01-06,18:58,19:00,18:51,-2.0,N702TW,332.0,Delta Air Lines Inc.
2013-01-06,18:56,19:05,18:51,-9.0,N339AA,320.0,American Airlines Inc.
2013-01-06,20:11,20:00,19:51,11.0,N624VA,336.0,Virgin America
2013-01-06,20:21,20:25,20:51,-4.0,N512UA,305.0,United Air Lines Inc.
2013-01-06,20:36,20:40,20:51,-4.0,N807JB,332.0,JetBlue Airways
2013-01-06,20:53,21:00,20:51,-7.0,N718TW,335.0,Delta Air Lines Inc.
2013-01-06,21:41,21:35,21:51,6.0,N329AA,343.0,American Airlines Inc.
2013-01-07,06:20,06:01,05:51,19.0,N57857,319.0,United Air Lines Inc.
2013-01-07,06:52,07:00,06:51,-8.0,N640VA,321.0,Virgin America
2013-01-07,06:58,07:00,06:51,-2.0,N711ZX,311.0,Delta Air Lines Inc.
2013-01-07,07:04,07:00,06:51,4.0,N652JB,313.0,JetBlue Airways
2013-01-07,07:24,07:30,07:51,-6.0,N328AA,312.0,American Airlines Inc.
2013-01-07,13:23,08:30,08:51,293.0,N12116,311.0,United Air Lines Inc.
2013-01-07,08:56,09:00,08:51,-4.0,N837VA,324.0,Virgin America
2013-01-07,09:04,09:00,08:51,4.0,N335AA,316.0,American Airlines Inc.
2013-01-07,08:58,09:00,08:51,-2.0,N717TW,327.0,Delta Air Lines Inc.
2013-01-07,11:57,10:30,10:51,87.0,N327AA,335.0,American Airlines Inc.
2013-01-07,11:23,11:25,11:51,-2.0,N768JB,312.0,JetBlue Airways
2013-01-07,11:23,11:30,11:51,-7.0,N508UA,320.0,United Air Lines Inc.
2013-01-07,11:32,11:30,11:51,2.0,N845VA,319.0,Virgin America
2013-01-07,11:59,12:00,11:51,-1.0,N706TW,329.0,Delta Air Lines Inc.
2013-01-07,11:53,12:00,11:51,-7.0,N336AA,306.0,American Airlines Inc.
2013-01-07,13:29,13:30,13:51,-1.0,N848VA,326.0,Virgin America
2013-01-07,13:44,13:45,13:51,-1.0,N332AA,337.0,American Airlines Inc.
2013-01-07,14:54,15:00,14:51,-6.0,N712TW,328.0,Delta Air Lines Inc.
2013-01-07,15:47,15:40,15:51,7.0,N14102,328.0,United Air Lines Inc.
2013-01-07,15:45,15:45,15:51,0.0,N338AA,322.0,American Airlines Inc.
2013-01-07,16:23,16:25,16:51,-2.0,N807JB,320.0,JetBlue Airways
2013-01-07,16:50,16:45,16:51,5.0,N329AA,322.0,American Airlines Inc.
2013-01-07,17:28,16:55,16:51,33.0,N641VA,330.0,Virgin America
2013-01-07,16:57,17:00,16:51,-3.0,N718TW,328.0,Delta Air Lines Inc.
2013-01-07,17:50,17:53,17:51,-3.0,N512UA,330.0,United Air Lines Inc.
2013-01-07,19:22,19:00,18:51,22.0,N717TW,332.0,Delta Air Lines Inc.
2013-01-07,19:00,19:05,18:51,-5.0,N339AA,310.0,American Airlines Inc.
2013-01-07,19:59,20:00,19:51,-1.0,N621VA,323.0,Virgin America
2013-01-07,20:22,20:25,20:51,-3.0,N555UA,309.0,United Air Lines Inc.
2013-01-07,20:40,20:40,20:51,0.0,N652JB,321.0,JetBlue Airways
2013-01-07,20:58,21:00,20:51,-2.0,N704X,313.0,Delta Air Lines Inc.
2013-01-07,21:34,21:35,21:51,-1.0,N328AA,323.0,American Airlines Inc.
2013-01-08,05:58,06:01,05:51,-3.0,N12116,324.0,United Air Lines Inc.
2013-01-08,06:59,07:00,06:51,-1.0,N718TW,340.0,Delta Air Lines Inc.
2013-01-08,07:03,07:00,06:51,3.0,N768JB,326.0,JetBlue Airways
2013-01-08,07:11,07:05,06:51,6.0,N837VA,334.0,Virgin America
2013-01-08,07:29,07:30,07:51,-1.0,N335AA,330.0,American Airlines Inc.
2013-01-08,08:37,08:30,08:51,7.0,N14107,320.0,United Air Lines Inc.
2013-01-08,08:53,09:00,08:51,-7.0,N323AA,341.0,American Airlines Inc.
2013-01-08,09:00,09:00,08:51,0.0,N713TW,343.0,Delta Air Lines Inc.
2013-01-08,09:05,09:00,08:51,5.0,N626VA,335.0,Virgin America
2013-01-08,11:38,10:30,10:51,68.0,N319AA,330.0,American Airlines Inc.
2013-01-08,11:28,11:25,11:51,3.0,N636JB,331.0,JetBlue Airways
2013-01-08,11:30,11:30,11:51,0.0,N641VA,341.0,Virgin America
2013-01-08,11:45,11:30,11:51,15.0,N512UA,341.0,United Air Lines Inc.
2013-01-08,11:58,12:00,11:51,-2.0,N624AG,333.0,Delta Air Lines Inc.
2013-01-08,11:54,12:00,11:51,-6.0,N320AA,334.0,American Airlines Inc.
2013-01-08,13:25,13:20,12:51,5.0,N629VA,343.0,Virgin America
2013-01-08,13:38,13:45,13:51,-7.0,N325AA,347.0,American Airlines Inc.
2013-01-08,14:56,15:00,14:51,-4.0,N711ZX,342.0,Delta Air Lines Inc.
2013-01-08,15:48,15:40,15:51,8.0,N12125,331.0,United Air Lines Inc.
2013-01-08,15:46,15:45,15:51,1.0,N324AA,341.0,American Airlines Inc.
2013-01-08,16:26,16:25,16:51,1.0,N809JB,336.0,JetBlue Airways
2013-01-08,17:16,16:45,16:51,31.0,N336AA,342.0,American Airlines Inc.
2013-01-08,17:33,16:55,16:51,38.0,N627VA,345.0,Virgin America
2013-01-08,17:00,17:00,16:51,0.0,N704X,338.0,Delta Air Lines Inc.
2013-01-08,17:52,17:53,17:51,-1.0,N555UA,349.0,United Air Lines Inc.
2013-01-08,18:58,19:00,18:51,-2.0,N722TW,345.0,Delta Air Lines Inc.
2013-01-08,18:59,19:05,18:51,-6.0,N322AA,337.0,American Airlines Inc.
2013-01-08,20:09,20:00,19:51,9.0,N638VA,362.0,Virgin America
2013-01-08,20:20,20:25,20:51,-5.0,N510UA,351.0,United Air Lines Inc.
2013-01-08,20:38,20:40,20:51,-2.0,N768JB,342.0,JetBlue Airways
2013-01-08,20:58,21:00,20:51,-2.0,N705TW,356.0,Delta Air Lines Inc.
2013-01-08,21:30,21:35,21:51,-5.0,N328AA,376.0,American Airlines Inc.
2013-01-09,06:04,06:01,05:51,3.0,N14120,354.0,United Air Lines Inc.
2013-01-09,06:58,07:00,06:51,-2.0,N624AG,342.0,Delta Air Lines Inc.
2013-01-09,07:00,07:00,06:51,0.0,N807JB,343.0,JetBlue Airways
2013-01-09,07:12,07:05,06:51,7.0,N634VA,356.0,Virgin America
2013-01-09,07:28,07:30,07:51,-2.0,N319AA,367.0,American Airlines Inc.
2013-01-09,08:31,08:30,08:51,1.0,N14107,351.0,United Air Lines Inc.
2013-01-09,09:00,09:00,08:51,0.0,N329AA,345.0,American Airlines Inc.
2013-01-09,08:55,09:00,08:51,-5.0,N711ZX,343.0,Delta Air Lines Inc.
2013-01-09,09:03,09:05,08:51,-2.0,N637VA,354.0,Virgin America
2013-01-09,11:28,10:30,10:51,58.0,N322AA,371.0,American Airlines Inc.
2013-01-09,11:20,11:25,11:51,-5.0,N625JB,340.0,JetBlue Airways
2013-01-09,11:23,11:30,11:51,-7.0,N555UA,325.0,United Air Lines Inc.
2013-01-09,12:07,12:00,11:51,7.0,N332AA,326.0,American Airlines Inc.
2013-01-09,11:53,12:00,11:51,-7.0,N722TW,374.0,Delta Air Lines Inc.
2013-01-09,13:30,13:20,12:51,10.0,N641VA,359.0,Virgin America
2013-01-09,13:41,13:45,13:51,-4.0,N338AA,353.0,American Airlines Inc.
2013-01-09,14:58,15:00,14:51,-2.0,N718TW,366.0,Delta Air Lines Inc.
2013-01-09,15:41,15:40,15:51,1.0,N17139,351.0,United Air Lines Inc.
2013-01-09,15:57,15:45,15:51,12.0,N320AA,323.0,American Airlines Inc.
2013-01-09,16:22,16:25,16:51,-3.0,N768JB,345.0,JetBlue Airways
2013-01-09,17:01,16:45,16:51,16.0,N328AA,334.0,American Airlines Inc.
2013-01-09,16:56,16:55,16:51,1.0,N640VA,344.0,Virgin America
2013-01-09,17:01,17:00,16:51,1.0,N705TW,359.0,Delta Air Lines Inc.
2013-01-09,17:48,17:53,17:51,-5.0,N512UA,334.0,United Air Lines Inc.
2013-01-09,18:54,19:00,18:51,-6.0,N711ZX,358.0,Delta Air Lines Inc.
2013-01-09,19:03,19:05,18:51,-2.0,N339AA,332.0,American Airlines Inc.
2013-01-09,19:54,20:00,19:51,-6.0,N631VA,352.0,Virgin America
2013-01-09,20:18,20:25,20:51,-7.0,N532UA,358.0,United Air Lines Inc.
2013-01-09,20:59,21:00,20:51,-1.0,N717TW,358.0,Delta Air Lines Inc.
2013-01-09,21:33,21:35,21:51,-2.0,N319AA,360.0,American Airlines Inc.
2013-01-10,06:07,06:01,05:51,6.0,N14107,357.0,United Air Lines Inc.
2013-01-10,06:59,07:00,06:51,-1.0,N705TW,335.0,Delta Air Lines Inc.
2013-01-10,07:03,07:00,06:51,3.0,N809JB,342.0,JetBlue Airways
2013-01-10,07:02,07:05,06:51,-3.0,N638VA,346.0,Virgin America
2013-01-10,07:21,07:30,07:51,-9.0,N335AA,318.0,American Airlines Inc.
2013-01-10,08:25,08:30,08:51,-5.0,N48127,325.0,United Air Lines Inc.
2013-01-10,08:56,09:00,08:51,-4.0,N336AA,328.0,American Airlines Inc.
2013-01-10,08:55,09:00,08:51,-5.0,N727TW,354.0,Delta Air Lines Inc.
2013-01-10,09:39,09:05,08:51,34.0,N622VA,349.0,Virgin America
2013-01-10,10:25,10:30,10:51,-5.0,N338AA,342.0,American Airlines Inc.
2013-01-10,11:39,11:25,11:51,14.0,N638JB,351.0,JetBlue Airways
2013-01-10,11:26,11:30,11:51,-4.0,N525UA,349.0,United Air Lines Inc.
2013-01-10,11:58,12:00,11:51,-2.0,N339AA,343.0,American Airlines Inc.
2013-01-10,11:53,12:00,11:51,-7.0,N712TW,359.0,Delta Air Lines Inc.
2013-01-10,13:15,13:20,12:51,-5.0,N632VA,356.0,Virgin America
2013-01-10,13:40,13:45,13:51,-5.0,N324AA,342.0,American Airlines Inc.
2013-01-10,14:59,15:00,14:51,-1.0,N624AG,350.0,Delta Air Lines Inc.
2013-01-10,15:40,15:40,15:51,0.0,N41140,351.0,United Air Lines Inc.
2013-01-10,15:45,15:45,15:51,0.0,N323AA,335.0,American Airlines Inc.
2013-01-10,16:22,16:25,16:51,-3.0,N779JB,343.0,JetBlue Airways
2013-01-10,16:42,16:45,16:51,-3.0,N319AA,340.0,American Airlines Inc.
2013-01-10,16:50,16:55,16:51,-5.0,N640VA,358.0,Virgin America
2013-01-10,16:58,17:00,16:51,-2.0,N718TW,344.0,Delta Air Lines Inc.
2013-01-10,17:48,17:53,17:51,-5.0,N510UA,343.0,United Air Lines Inc.
2013-01-10,18:57,19:00,18:51,-3.0,N721TW,337.0,Delta Air Lines Inc.
2013-01-10,18:57,19:05,18:51,-8.0,N328AA,336.0,American Airlines Inc.
2013-01-10,19:55,20:00,19:51,-5.0,N641VA,355.0,Virgin America
2013-01-10,20:20,20:25,20:51,-5.0,N518UA,335.0,United Air Lines Inc.
2013-01-10,20:40,20:40,20:51,0.0,N809JB,343.0,JetBlue Airways
2013-01-10,21:00,21:00,20:51,0.0,N705TW,343.0,Delta Air Lines Inc.
2013-01-10,21:45,21:35,21:51,10.0,N335AA,341.0,American Airlines Inc.
2013-01-11,05:57,06:01,05:51,-4.0,N48127,358.0,United Air Lines Inc.
2013-01-11,06:55,07:00,06:51,-5.0,N713TW,353.0,Delta Air Lines Inc.
2013-01-11,06:59,07:00,06:51,-1.0,N638JB,352.0,JetBlue Airways
2013-01-11,07:03,07:05,06:51,-2.0,N624VA,361.0,Virgin America
2013-01-11,07:27,07:30,07:51,-3.0,N336AA,360.0,American Airlines Inc.
2013-01-11,08:41,08:30,08:51,11.0,N19141,360.0,United Air Lines Inc.
2013-01-11,09:03,09:00,08:51,3.0,N329AA,350.0,American Airlines Inc.
2013-01-11,08:55,09:00,08:51,-5.0,N624AG,340.0,Delta Air Lines Inc.
2013-01-11,09:01,09:05,08:51,-4.0,N622VA,360.0,Virgin America
2013-01-11,10:24,10:30,10:51,-6.0,N338AA,341.0,American Airlines Inc.
2013-01-11,11:23,11:25,11:51,-2.0,N793JB,353.0,JetBlue Airways
2013-01-11,11:21,11:30,11:51,-9.0,N525UA,348.0,United Air Lines Inc.
2013-01-11,12:39,12:00,11:51,39.0,N721TW,370.0,Delta Air Lines Inc.
2013-01-11,11:54,12:00,11:51,-6.0,N320AA,341.0,American Airlines Inc.
2013-01-11,13:16,13:20,12:51,-4.0,N633VA,369.0,Virgin America
2013-01-11,13:40,13:45,13:51,-5.0,N328AA,350.0,American Airlines Inc.
