id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
882,2013,1,2,616.0,600,16.0,1001.0,917,44.0,UA,1141,N19141,JFK,LAX,354.0,2475,6,0,02/01/2013 06:00,United Air Lines Inc.
923,2013,1,2,655.0,700,-5.0,1031.0,1034,-3.0,DL,763,N705TW,JFK,LAX,317.0,2475,7,0,02/01/2013 07:00,Delta Air Lines Inc.
929,2013,1,2,659.0,700,-1.0,959.0,1025,-26.0,VX,399,N626VA,JFK,LAX,330.0,2475,7,0,02/01/2013 07:00,Virgin America
941,2013,1,2,709.0,700,9.0,1006.0,1014,-8.0,B6,671,N583JB,JFK,LAX,327.0,2475,7,0,02/01/2013 07:00,JetBlue Airways
958,2013,1,2,732.0,730,2.0,1105.0,1100,5.0,AA,33,N322AA,JFK,LAX,351.0,2475,7,30,02/01/2013 07:00,American Airlines Inc.
1031,2013,1,2,829.0,830,-1.0,1154.0,1200,-6.0,UA,572,N525UA,JFK,LAX,340.0,2475,8,30,02/01/2013 08:00,United Air Lines Inc.
1052,2013,1,2,855.0,900,-5.0,1225.0,1220,5.0,AA,1,N336AA,JFK,LAX,336.0,2475,9,0,02/01/2013 09:00,American Airlines Inc.
1055,2013,1,2,857.0,900,-3.0,1130.0,1227,-57.0,DL,120,N710TW,JFK,LAX,310.0,2475,9,0,02/01/2013 09:00,Delta Air Lines Inc.
1069,2013,1,2,903.0,900,3.0,1218.0,1225,-7.0,VX,407,N624VA,JFK,LAX,338.0,2475,9,0,02/01/2013 09:00,Virgin America
1121,2013,1,2,1004.0,945,19.0,1251.0,1258,-7.0,B6,679,N706JB,JFK,LAX,326.0,2475,9,45,02/01/2013 09:00,JetBlue Airways
1145,2013,1,2,1038.0,1030,8.0,1347.0,1340,7.0,AA,19,N328AA,JFK,LAX,344.0,2475,10,30,02/01/2013 10:00,American Airlines Inc.
1181,2013,1,2,1125.0,1130,-5.0,1416.0,1448,-32.0,UA,703,N510UA,JFK,LAX,332.0,2475,11,30,02/01/2013 11:00,United Air Lines Inc.
1187,2013,1,2,1131.0,1130,1.0,1436.0,1450,-14.0,VX,409,N627VA,JFK,LAX,341.0,2475,11,30,02/01/2013 11:00,Virgin America
1201,2013,1,2,1156.0,1200,-4.0,1509.0,1529,-20.0,DL,863,N624AG,JFK,LAX,348.0,2475,12,0,02/01/2013 12:00,Delta Air Lines Inc.
1213,2013,1,2,1204.0,1200,4.0,1511.0,1510,1.0,AA,3,N319AA,JFK,LAX,341.0,2475,12,0,02/01/2013 12:00,American Airlines Inc.
1221,2013,1,2,1216.0,1220,-4.0,1520.0,1531,-11.0,B6,673,N796JB,JFK,LAX,337.0,2475,12,20,02/01/2013 12:00,JetBlue Airways
1273,2013,1,2,1326.0,1330,-4.0,1650.0,1655,-5.0,VX,411,N635VA,JFK,LAX,361.0,2475,13,30,02/01/2013 13:00,Virgin America
1289,2013,1,2,1341.0,1345,-4.0,1648.0,1705,-17.0,AA,117,N332AA,JFK,LAX,344.0,2475,13,45,02/01/2013 13:00,American Airlines Inc.
1355,2013,1,2,1500.0,1500,0.0,1811.0,1837,-26.0,DL,1467,N718TW,JFK,LAX,341.0,2475,15,0,02/01/2013 15:00,Delta Air Lines Inc.
1380,2013,1,2,1525.0,1530,-5.0,1832.0,1855,-23.0,UA,530,N532UA,JFK,LAX,341.0,2475,15,30,02/01/2013 15:00,United Air Lines Inc.
1458,2013,1,2,1627.0,1630,-3.0,1927.0,1952,-25.0,B6,675,N779JB,JFK,LAX,321.0,2475,16,30,02/01/2013 16:00,JetBlue Airways
1481,2013,1,2,1655.0,1655,0.0,1955.0,2030,-35.0,VX,413,N841VA,JFK,LAX,330.0,2475,16,55,02/01/2013 16:00,Virgin America
1503,2013,1,2,1717.0,1645,32.0,2033.0,2005,28.0,AA,181,N338AA,JFK,LAX,335.0,2475,16,45,02/01/2013 16:00,American Airlines Inc.
1510,2013,1,2,1724.0,1725,-1.0,2116.0,2105,11.0,DL,513,N712TW,JFK,LAX,381.0,2475,17,25,02/01/2013 17:00,Delta Air Lines Inc.
1537,2013,1,2,1746.0,1750,-4.0,2043.0,2115,-32.0,UA,535,N512UA,JFK,LAX,325.0,2475,17,50,02/01/2013 17:00,United Air Lines Inc.
1616,2013,1,2,1856.0,1900,-4.0,2250.0,2238,12.0,DL,87,N703TW,JFK,LAX,371.0,2475,19,0,02/01/2013 19:00,Delta Air Lines Inc.
1628,2013,1,2,1905.0,1905,0.0,2216.0,2225,-9.0,AA,21,N339AA,JFK,LAX,333.0,2475,19,5,02/01/2013 19:00,American Airlines Inc.
1676,2013,1,2,1958.0,2000,-2.0,2303.0,2325,-22.0,VX,415,N622VA,JFK,LAX,335.0,2475,20,0,02/01/2013 20:00,Virgin America
1718,2013,1,2,2047.0,2040,7.0,2329.0,2359,-30.0,B6,677,N583JB,JFK,LAX,316.0,2475,20,40,02/01/2013 20:00,JetBlue Airways
1728,2013,1,2,2100.0,2100,0.0,36.0,31,5.0,DL,2363,N711ZX,JFK,LAX,367.0,2475,21,0,02/01/2013 21:00,Delta Air Lines Inc.
1750,2013,1,2,2134.0,2135,-1.0,36.0,50,-14.0,AA,185,N322AA,JFK,LAX,340.0,2475,21,35,02/01/2013 21:00,American Airlines Inc.
1782,2013,1,2,,1545,,,1910,,AA,133,,JFK,LAX,,2475,15,45,02/01/2013 15:00,American Airlines Inc.
1825,2013,1,3,616.0,559,17.0,913.0,916,-3.0,UA,1570,N18119,JFK,LAX,335.0,2475,5,59,03/01/2013 05:00,United Air Lines Inc.
1864,2013,1,3,656.0,700,-4.0,959.0,1034,-35.0,DL,763,N624AG,JFK,LAX,319.0,2475,7,0,03/01/2013 07:00,Delta Air Lines Inc.
1870,2013,1,3,658.0,700,-2.0,938.0,1025,-47.0,VX,399,N638VA,JFK,LAX,316.0,2475,7,0,03/01/2013 07:00,Virgin America
1873,2013,1,3,701.0,700,1.0,937.0,1014,-37.0,B6,671,N624JB,JFK,LAX,313.0,2475,7,0,03/01/2013 07:00,JetBlue Airways
1900,2013,1,3,730.0,730,0.0,1014.0,1100,-46.0,AA,33,N336AA,JFK,LAX,313.0,2475,7,30,03/01/2013 07:00,American Airlines Inc.
1952,2013,1,3,825.0,829,-4.0,1120.0,1145,-25.0,UA,871,N512UA,JFK,LAX,321.0,2475,8,29,03/01/2013 08:00,United Air Lines Inc.
1988,2013,1,3,855.0,900,-5.0,1144.0,1220,-36.0,AA,1,N327AA,JFK,LAX,323.0,2475,9,0,03/01/2013 09:00,American Airlines Inc.
1989,2013,1,3,855.0,900,-5.0,1157.0,1227,-30.0,DL,120,N711ZX,JFK,LAX,327.0,2475,9,0,03/01/2013 09:00,Delta Air Lines Inc.
1995,2013,1,3,858.0,900,-2.0,1155.0,1225,-30.0,VX,407,N631VA,JFK,LAX,322.0,2475,9,0,03/01/2013 09:00,Virgin America
2035,2013,1,3,941.0,945,-4.0,1153.0,1258,-65.0,B6,679,N789JB,JFK,LAX,297.0,2475,9,45,03/01/2013 09:00,JetBlue Airways
2072,2013,1,3,1024.0,1030,-6.0,1312.0,1340,-28.0,AA,19,N323AA,JFK,LAX,322.0,2475,10,30,03/01/2013 10:00,American Airlines Inc.
2106,2013,1,3,1124.0,1130,-6.0,1407.0,1450,-43.0,VX,409,N621VA,JFK,LAX,320.0,2475,11,30,03/01/2013 11:00,Virgin America
2111,2013,1,3,1127.0,1130,-3.0,1357.0,1445,-48.0,UA,703,N510UA,JFK,LAX,305.0,2475,11,30,03/01/2013 11:00,United Air Lines Inc.
2127,2013,1,3,1152.0,1200,-8.0,1446.0,1510,-24.0,AA,3,N328AA,JFK,LAX,325.0,2475,12,0,03/01/2013 12:00,American Airlines Inc.
2145,2013,1,3,1213.0,1220,-7.0,1439.0,1531,-52.0,B6,673,N766JB,JFK,LAX,308.0,2475,12,20,03/01/2013 12:00,JetBlue Airways
2156,2013,1,3,1233.0,1200,33.0,1534.0,1529,5.0,DL,863,N727TW,JFK,LAX,324.0,2475,12,0,03/01/2013 12:00,Delta Air Lines Inc.
2200,2013,1,3,1326.0,1330,-4.0,1609.0,1655,-46.0,VX,411,N624VA,JFK,LAX,320.0,2475,13,30,03/01/2013 13:00,Virgin America
2209,2013,1,3,1340.0,1345,-5.0,1652.0,1705,-13.0,AA,117,N325AA,JFK,LAX,331.0,2475,13,45,03/01/2013 13:00,American Airlines Inc.
2269,2013,1,3,1454.0,1500,-6.0,1759.0,1837,-38.0,DL,963,N705TW,JFK,LAX,321.0,2475,15,0,03/01/2013 15:00,Delta Air Lines Inc.
2325,2013,1,3,1546.0,1545,1.0,1851.0,1910,-19.0,AA,133,N319AA,JFK,LAX,319.0,2475,15,45,03/01/2013 15:00,American Airlines Inc.
2328,2013,1,3,1547.0,1540,7.0,1845.0,1900,-15.0,UA,161,N12116,JFK,LAX,323.0,2475,15,40,03/01/2013 15:00,United Air Lines Inc.
2370,2013,1,3,1626.0,1630,-4.0,1853.0,1952,-59.0,B6,675,N652JB,JFK,LAX,301.0,2475,16,30,03/01/2013 16:00,JetBlue Airways
2405,2013,1,3,1659.0,1700,-1.0,1954.0,2036,-42.0,DL,127,N712TW,JFK,LAX,322.0,2475,17,0,03/01/2013 17:00,Delta Air Lines Inc.
2429,2013,1,3,1720.0,1645,35.0,2017.0,2005,12.0,AA,181,N322AA,JFK,LAX,319.0,2475,16,45,03/01/2013 16:00,American Airlines Inc.
2431,2013,1,3,1721.0,1655,26.0,2013.0,2030,-17.0,VX,413,N641VA,JFK,LAX,321.0,2475,16,55,03/01/2013 16:00,Virgin America
2457,2013,1,3,1751.0,1753,-2.0,2043.0,2105,-22.0,UA,535,N532UA,JFK,LAX,320.0,2475,17,53,03/01/2013 17:00,United Air Lines Inc.
2534,2013,1,3,1858.0,1900,-2.0,2233.0,2238,-5.0,DL,87,N711ZX,JFK,LAX,348.0,2475,19,0,03/01/2013 19:00,Delta Air Lines Inc.
2542,2013,1,3,1909.0,1905,4.0,2145.0,2225,-40.0,AA,21,N338AA,JFK,LAX,293.0,2475,19,5,03/01/2013 19:00,American Airlines Inc.
2606,2013,1,3,2019.0,2000,19.0,2303.0,2325,-22.0,VX,415,N623VA,JFK,LAX,309.0,2475,20,0,03/01/2013 20:00,Virgin America
2610,2013,1,3,2023.0,2030,-7.0,2308.0,2334,-26.0,UA,771,N517UA,JFK,LAX,309.0,2475,20,30,03/01/2013 20:00,United Air Lines Inc.
2644,2013,1,3,2101.0,2040,21.0,2327.0,2359,-32.0,B6,677,N590JB,JFK,LAX,301.0,2475,20,40,03/01/2013 20:00,JetBlue Airways
2655,2013,1,3,2114.0,2100,14.0,49.0,31,18.0,DL,2363,N718TW,JFK,LAX,347.0,2475,21,0,03/01/2013 21:00,Delta Air Lines Inc.
2665,2013,1,3,2137.0,2135,2.0,2358.0,50,-52.0,AA,185,N336AA,JFK,LAX,299.0,2475,21,35,03/01/2013 21:00,American Airlines Inc.
2733,2013,1,4,606.0,559,7.0,846.0,916,-30.0,UA,1669,N19117,JFK,LAX,307.0,2475,5,59,04/01/2013 05:00,United Air Lines Inc.
2785,2013,1,4,700.0,700,0.0,941.0,1025,-44.0,VX,399,N633VA,JFK,LAX,318.0,2475,7,0,04/01/2013 07:00,Virgin America
2803,2013,1,4,715.0,700,15.0,1013.0,1034,-21.0,DL,763,N727TW,JFK,LAX,322.0,2475,7,0,04/01/2013 07:00,Delta Air Lines Inc.
2807,2013,1,4,721.0,700,21.0,1001.0,1014,-13.0,B6,671,N646JB,JFK,LAX,302.0,2475,7,0,04/01/2013 07:00,JetBlue Airways
2815,2013,1,4,728.0,730,-2.0,1024.0,1100,-36.0,AA,33,N323AA,JFK,LAX,327.0,2475,7,30,04/01/2013 07:00,American Airlines Inc.
2890,2013,1,4,834.0,829,5.0,1134.0,1153,-19.0,UA,112,N34137,JFK,LAX,321.0,2475,8,29,04/01/2013 08:00,United Air Lines Inc.
2914,2013,1,4,856.0,900,-4.0,1215.0,1225,-10.0,VX,407,N629VA,JFK,LAX,311.0,2475,9,0,04/01/2013 09:00,Virgin America
2917,2013,1,4,858.0,900,-2.0,1210.0,1220,-10.0,AA,1,N328AA,JFK,LAX,327.0,2475,9,0,04/01/2013 09:00,American Airlines Inc.
2919,2013,1,4,858.0,900,-2.0,1215.0,1227,-12.0,DL,120,N705TW,JFK,LAX,336.0,2475,9,0,04/01/2013 09:00,Delta Air Lines Inc.
2975,2013,1,4,1001.0,945,16.0,1232.0,1258,-26.0,B6,679,N729JB,JFK,LAX,310.0,2475,9,45,04/01/2013 09:00,JetBlue Airways
2992,2013,1,4,1028.0,1030,-2.0,1342.0,1340,2.0,AA,19,N327AA,JFK,LAX,334.0,2475,10,30,04/01/2013 10:00,American Airlines Inc.
3029,2013,1,4,1118.0,1130,-12.0,1350.0,1445,-55.0,UA,703,N512UA,JFK,LAX,309.0,2475,11,30,04/01/2013 11:00,United Air Lines Inc.
3039,2013,1,4,1130.0,1130,0.0,1413.0,1450,-37.0,VX,409,N634VA,JFK,LAX,318.0,2475,11,30,04/01/2013 11:00,Virgin America
3056,2013,1,4,1154.0,1200,-6.0,1451.0,1529,-38.0,DL,863,N706TW,JFK,LAX,331.0,2475,12,0,04/01/2013 12:00,Delta Air Lines Inc.
3060,2013,1,4,1157.0,1200,-3.0,1447.0,1510,-23.0,AA,3,N322AA,JFK,LAX,327.0,2475,12,0,04/01/2013 12:00,American Airlines Inc.
3071,2013,1,4,1220.0,1220,0.0,1457.0,1531,-34.0,B6,673,N807JB,JFK,LAX,312.0,2475,12,20,04/01/2013 12:00,JetBlue Airways
3125,2013,1,4,1328.0,1330,-2.0,1621.0,1655,-34.0,VX,411,N631VA,JFK,LAX,333.0,2475,13,30,04/01/2013 13:00,Virgin America
3128,2013,1,4,1340.0,1345,-5.0,1632.0,1705,-33.0,AA,117,N319AA,JFK,LAX,325.0,2475,13,45,04/01/2013 13:00,American Airlines Inc.
3197,2013,1,4,1457.0,1500,-3.0,1824.0,1837,-13.0,DL,963,N710TW,JFK,LAX,337.0,2475,15,0,04/01/2013 15:00,Delta Air Lines Inc.
3251,2013,1,4,1547.0,1540,7.0,1840.0,1900,-20.0,UA,161,N18112,JFK,LAX,324.0,2475,15,40,04/01/2013 15:00,United Air Lines Inc.
3297,2013,1,4,1628.0,1630,-2.0,1900.0,1952,-52.0,B6,675,N641JB,JFK,LAX,316.0,2475,16,30,04/01/2013 16:00,JetBlue Airways
3312,2013,1,4,1644.0,1645,-1.0,1929.0,2005,-36.0,AA,181,N336AA,JFK,LAX,326.0,2475,16,45,04/01/2013 16:00,American Airlines Inc.
3328,2013,1,4,1655.0,1700,-5.0,2004.0,2036,-32.0,DL,127,N718TW,JFK,LAX,334.0,2475,17,0,04/01/2013 17:00,Delta Air Lines Inc.
3336,2013,1,4,1703.0,1545,78.0,2001.0,1910,51.0,AA,133,N325AA,JFK,LAX,328.0,2475,15,45,04/01/2013 15:00,American Airlines Inc.
3349,2013,1,4,1714.0,1655,19.0,2010.0,2030,-20.0,VX,413,N628VA,JFK,LAX,326.0,2475,16,55,04/01/2013 16:00,Virgin America
3388,2013,1,4,1756.0,1753,3.0,2037.0,2105,-28.0,UA,535,N517UA,JFK,LAX,317.0,2475,17,53,04/01/2013 17:00,United Air Lines Inc.
3457,2013,1,4,1859.0,1900,-1.0,2200.0,2238,-38.0,DL,87,N705TW,JFK,LAX,328.0,2475,19,0,04/01/2013 19:00,Delta Air Lines Inc.
3504,2013,1,4,1946.0,1905,41.0,2226.0,2225,1.0,AA,21,N338AA,JFK,LAX,312.0,2475,19,5,04/01/2013 19:00,American Airlines Inc.
3529,2013,1,4,2017.0,2000,17.0,2317.0,2325,-8.0,VX,415,N625VA,JFK,LAX,333.0,2475,20,0,04/01/2013 20:00,Virgin America
3530,2013,1,4,2019.0,2030,-11.0,2254.0,2334,-40.0,UA,771,N557UA,JFK,LAX,312.0,2475,20,30,04/01/2013 20:00,United Air Lines Inc.
3551,2013,1,4,2046.0,2040,6.0,2342.0,2359,-17.0,B6,677,N796JB,JFK,LAX,320.0,2475,20,40,04/01/2013 20:00,JetBlue Airways
3562,2013,1,4,2059.0,2100,-1.0,2349.0,31,-42.0,DL,2363,N727TW,JFK,LAX,318.0,2475,21,0,04/01/2013 21:00,Delta Air Lines Inc.
3580,2013,1,4,2130.0,2135,-5.0,5.0,50,-45.0,AA,185,N323AA,JFK,LAX,315.0,2475,21,35,04/01/2013 21:00,American Airlines Inc.
3626,2013,1,5,557.0,601,-4.0,858.0,921,-23.0,UA,1030,N34137,JFK,LAX,333.0,2475,6,1,05/01/2013 06:00,United Air Lines Inc.
3680,2013,1,5,700.0,700,0.0,1014.0,1025,-11.0,VX,399,N641VA,JFK,LAX,346.0,2475,7,0,05/01/2013 07:00,Virgin America
3768,2013,1,5,836.0,830,6.0,1200.0,1154,6.0,UA,112,N12116,JFK,LAX,346.0,2475,8,30,05/01/2013 08:00,United Air Lines Inc.
3782,2013,1,5,851.0,900,-9.0,1206.0,1220,-14.0,AA,1,N328AA,JFK,LAX,343.0,2475,9,0,05/01/2013 09:00,American Airlines Inc.
3789,2013,1,5,857.0,900,-3.0,1225.0,1227,-2.0,DL,120,N705TW,JFK,LAX,344.0,2475,9,0,05/01/2013 09:00,Delta Air Lines Inc.
3790,2013,1,5,857.0,900,-3.0,1225.0,1225,0.0,VX,407,N638VA,JFK,LAX,347.0,2475,9,0,05/01/2013 09:00,Virgin America
3823,2013,1,5,943.0,945,-2.0,1243.0,1258,-15.0,B6,679,N590JB,JFK,LAX,343.0,2475,9,45,05/01/2013 09:00,JetBlue Airways
3854,2013,1,5,1031.0,1030,1.0,1341.0,1340,1.0,AA,19,N322AA,JFK,LAX,348.0,2475,10,30,05/01/2013 10:00,American Airlines Inc.
3877,2013,1,5,1128.0,1130,-2.0,1434.0,1445,-11.0,UA,362,N532UA,JFK,LAX,347.0,2475,11,30,05/01/2013 11:00,United Air Lines Inc.
3892,2013,1,5,1142.0,1130,12.0,1455.0,1450,5.0,VX,409,N629VA,JFK,LAX,348.0,2475,11,30,05/01/2013 11:00,Virgin America
3897,2013,1,5,1151.0,1200,-9.0,1456.0,1529,-33.0,DL,863,N702TW,JFK,LAX,344.0,2475,12,0,05/01/2013 12:00,Delta Air Lines Inc.
3915,2013,1,5,1220.0,1220,0.0,1530.0,1531,-1.0,B6,673,N593JB,JFK,LAX,341.0,2475,12,20,05/01/2013 12:00,JetBlue Airways
3945,2013,1,5,1308.0,1200,68.0,1621.0,1510,71.0,AA,3,N329AA,JFK,LAX,346.0,2475,12,0,05/01/2013 12:00,American Airlines Inc.
3966,2013,1,5,1333.0,1330,3.0,1644.0,1655,-11.0,VX,411,N634VA,JFK,LAX,352.0,2475,13,30,05/01/2013 13:00,Virgin America
3971,2013,1,5,1346.0,1345,1.0,1655.0,1705,-10.0,AA,117,N336AA,JFK,LAX,350.0,2475,13,45,05/01/2013 13:00,American Airlines Inc.
4052,2013,1,5,1535.0,1540,-5.0,1854.0,1900,-6.0,UA,243,N517UA,JFK,LAX,349.0,2475,15,40,05/01/2013 15:00,United Air Lines Inc.
4058,2013,1,5,1539.0,1545,-6.0,1854.0,1910,-16.0,AA,133,N332AA,JFK,LAX,340.0,2475,15,45,05/01/2013 15:00,American Airlines Inc.
4063,2013,1,5,1544.0,1500,44.0,1916.0,1837,39.0,DL,963,N703TW,JFK,LAX,335.0,2475,15,0,05/01/2013 15:00,Delta Air Lines Inc.
4113,2013,1,5,1631.0,1630,1.0,1928.0,1952,-24.0,B6,675,N807JB,JFK,LAX,335.0,2475,16,30,05/01/2013 16:00,JetBlue Airways
4122,2013,1,5,1641.0,1645,-4.0,1937.0,2005,-28.0,AA,181,N323AA,JFK,LAX,335.0,2475,16,45,05/01/2013 16:00,American Airlines Inc.
4143,2013,1,5,1704.0,1655,9.0,2019.0,2030,-11.0,VX,413,N626VA,JFK,LAX,348.0,2475,16,55,05/01/2013 16:00,Virgin America
4157,2013,1,5,1719.0,1705,14.0,2028.0,2040,-12.0,DL,127,N711ZX,JFK,LAX,342.0,2475,17,5,05/01/2013 17:00,Delta Air Lines Inc.
4228,2013,1,5,1857.0,1900,-3.0,2218.0,2220,-2.0,UA,808,N557UA,JFK,LAX,344.0,2475,19,0,05/01/2013 19:00,United Air Lines Inc.
4234,2013,1,5,1900.0,1900,0.0,2212.0,2235,-23.0,DL,87,N727TW,JFK,LAX,351.0,2475,19,0,05/01/2013 19:00,Delta Air Lines Inc.
4235,2013,1,5,1903.0,1905,-2.0,2221.0,2225,-4.0,AA,21,N335AA,JFK,LAX,350.0,2475,19,5,05/01/2013 19:00,American Airlines Inc.
4274,2013,1,5,2008.0,2000,8.0,2330.0,2325,5.0,VX,415,N635VA,JFK,LAX,353.0,2475,20,0,05/01/2013 20:00,Virgin America
4293,2013,1,5,2045.0,2040,5.0,2342.0,2359,-17.0,B6,677,N652JB,JFK,LAX,339.0,2475,20,40,05/01/2013 20:00,JetBlue Airways
4315,2013,1,5,2146.0,2135,11.0,100.0,50,10.0,AA,185,N320AA,JFK,LAX,346.0,2475,21,35,05/01/2013 21:00,American Airlines Inc.
4382,2013,1,6,656.0,700,-4.0,1001.0,1014,-13.0,B6,671,N804JB,JFK,LAX,337.0,2475,7,0,06/01/2013 07:00,JetBlue Airways
4383,2013,1,6,656.0,700,-4.0,958.0,1025,-27.0,VX,399,N626VA,JFK,LAX,338.0,2475,7,0,06/01/2013 07:00,Virgin America
4405,2013,1,6,730.0,730,0.0,1053.0,1100,-7.0,AA,33,N329AA,JFK,LAX,354.0,2475,7,30,06/01/2013 07:00,American Airlines Inc.
4472,2013,1,6,838.0,830,8.0,1159.0,1154,5.0,UA,112,N12116,JFK,LAX,332.0,2475,8,30,06/01/2013 08:00,United Air Lines Inc.
4488,2013,1,6,858.0,900,-2.0,1210.0,1227,-17.0,DL,120,N702TW,JFK,LAX,323.0,2475,9,0,06/01/2013 09:00,Delta Air Lines Inc.
4489,2013,1,6,858.0,900,-2.0,1227.0,1225,2.0,VX,407,N632VA,JFK,LAX,348.0,2475,9,0,06/01/2013 09:00,Virgin America
4495,2013,1,6,905.0,900,5.0,1234.0,1220,14.0,AA,1,N327AA,JFK,LAX,344.0,2475,9,0,06/01/2013 09:00,American Airlines Inc.
4527,2013,1,6,954.0,945,9.0,1259.0,1258,1.0,B6,679,N583JB,JFK,LAX,343.0,2475,9,45,06/01/2013 09:00,JetBlue Airways
