,sched_arr_datetime (mod),arr_time,sched_arr_time,arr_delay,name,actual_delay,station,Wind Speed [in knots],Wind Gust [in knots],One hour precipitation [in inches],Pressure altimeter [in inches],Visibility [in miles],Sky Level 1 Coverage,Sky Level 2 Coverage,Sky Level 3 Coverage,Sky Level 4 Coverage
17,2013-01-01 18:53:00,18:15,18:37,-22.0,Delta Air Lines Inc.,-28.0,LAX,5.0,,0.00,30.21,10.0,3.0,4.0,4.0,
18,2013-01-01 18:53:00,18:58,18:55,3.0,United Air Lines Inc.,-5.0,LAX,5.0,,0.00,30.21,10.0,3.0,4.0,4.0,
19,2013-01-01 18:53:00,18:53,19:10,-17.0,American Airlines Inc.,-23.0,LAX,5.0,,0.00,30.21,10.0,3.0,4.0,4.0,
20,2013-01-01 19:53:00,20:07,19:52,15.0,JetBlue Airways,11.0,LAX,4.0,,0.00,30.16,10.0,2.0,4.0,4.0,
21,2013-01-01 19:53:00,22:12,20:05,127.0,American Airlines Inc.,258.0,LAX,4.0,,0.00,30.16,10.0,2.0,4.0,4.0,
22,2013-01-01 20:53:00,20:25,20:30,-5.0,Virgin America,-5.0,LAX,0.0,,0.00,30.13,10.0,2.0,4.0,4.0,
23,2013-01-01 20:53:00,21:21,21:05,16.0,Delta Air Lines Inc.,11.0,LAX,0.0,,0.00,30.13,10.0,2.0,4.0,4.0,
24,2013-01-01 20:53:00,21:09,21:15,-6.0,United Air Lines Inc.,-6.0,LAX,0.0,,0.00,30.13,10.0,2.0,4.0,4.0,
25,2013-01-01 22:53:00,22:59,22:38,21.0,Delta Air Lines Inc.,46.0,LAX,6.0,,0.00,30.11,10.0,2.0,3.0,,
26,2013-01-01 22:53:00,22:50,22:25,25.0,American Airlines Inc.,57.0,LAX,6.0,,0.00,30.11,10.0,2.0,3.0,,
27,2013-01-01 23:53:00,23:14,23:25,-11.0,Virgin America,-19.0,LAX,4.0,,0.00,30.11,10.0,2.0,3.0,,
28,2013-01-01 23:53:00,23:54,23:59,-5.0,JetBlue Airways,22.0,LAX,4.0,,0.00,30.11,10.0,2.0,3.0,,
29,2013-01-01 00:53:00,00:26,00:50,-24.0,American Airlines Inc.,-31.0,LAX,8.0,,0.00,30.21,10.0,2.0,,,
30,2013-01-02 08:53:00,10:01,09:17,44.0,United Air Lines Inc.,60.0,LAX,0.0,,0.00,30.14,10.0,2.0,,,
31,2013-01-02 10:53:00,10:31,10:34,-3.0,Delta Air Lines Inc.,-8.0,LAX,0.0,,0.00,30.11,10.0,1.0,,,
32,2013-01-02 10:53:00,09:59,10:25,-26.0,Virgin America,-27.0,LAX,0.0,,0.00,30.11,10.0,1.0,,,
33,2013-01-02 09:53:00,10:06,10:14,-8.0,JetBlue Airways,1.0,LAX,0.0,,0.00,30.12,10.0,2.0,,,
34,2013-01-02 10:53:00,11:05,11:00,5.0,American Airlines Inc.,7.0,LAX,0.0,,0.00,30.11,10.0,1.0,,,
35,2013-01-02 11:53:00,11:54,12:00,-6.0,United Air Lines Inc.,-7.0,LAX,5.0,,0.00,30.09,10.0,1.0,,,
36,2013-01-02 11:53:00,12:25,12:20,5.0,American Airlines Inc.,0.0,LAX,5.0,,0.00,30.09,10.0,1.0,,,
37,2013-01-02 12:53:00,12:18,12:25,-7.0,Virgin America,-4.0,LAX,3.0,,0.00,30.09,10.0,1.0,,,
38,2013-01-02 12:53:00,11:30,12:27,-57.0,Delta Air Lines Inc.,-60.0,LAX,3.0,,0.00,30.09,10.0,1.0,,,
39,2013-01-02 12:53:00,12:51,12:58,-7.0,JetBlue Airways,12.0,LAX,3.0,,0.00,30.09,10.0,1.0,,,
40,2013-01-02 13:53:00,13:47,13:40,7.0,American Airlines Inc.,15.0,LAX,0.0,,0.00,30.08,10.0,1.0,,,
41,2013-01-02 14:53:00,14:36,14:50,-14.0,Virgin America,-13.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
42,2013-01-02 14:53:00,14:16,14:48,-32.0,United Air Lines Inc.,-37.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
43,2013-01-02 14:53:00,15:11,15:10,1.0,American Airlines Inc.,5.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
44,2013-01-02 15:53:00,15:09,15:29,-20.0,Delta Air Lines Inc.,-24.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
45,2013-01-02 15:53:00,15:20,15:31,-11.0,JetBlue Airways,-15.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
46,2013-01-02 16:53:00,16:50,16:55,-5.0,Virgin America,-9.0,LAX,4.0,,0.00,30.11,10.0,2.0,,,
47,2013-01-02 16:53:00,16:48,17:05,-17.0,American Airlines Inc.,-21.0,LAX,4.0,,0.00,30.11,10.0,2.0,,,
48,2013-01-02 18:53:00,18:11,18:37,-26.0,Delta Air Lines Inc.,-26.0,LAX,7.0,,0.00,30.11,10.0,1.0,,,
49,2013-01-02 18:53:00,18:32,18:55,-23.0,United Air Lines Inc.,-28.0,LAX,7.0,,0.00,30.11,10.0,1.0,,,
50,2013-01-02 19:53:00,19:27,19:52,-25.0,JetBlue Airways,-28.0,LAX,10.0,,0.00,30.09,10.0,2.0,,,
51,2013-01-02 19:53:00,20:33,20:05,28.0,American Airlines Inc.,60.0,LAX,10.0,,0.00,30.09,10.0,2.0,,,
52,2013-01-02 20:53:00,19:55,20:30,-35.0,Virgin America,-35.0,LAX,11.0,,0.00,30.06,10.0,1.0,,,
53,2013-01-02 20:53:00,21:16,21:05,11.0,Delta Air Lines Inc.,10.0,LAX,11.0,,0.00,30.06,10.0,1.0,,,
54,2013-01-02 20:53:00,20:43,21:15,-32.0,United Air Lines Inc.,-36.0,LAX,11.0,,0.00,30.06,10.0,1.0,,,
55,2013-01-02 22:53:00,22:50,22:38,12.0,Delta Air Lines Inc.,8.0,LAX,8.0,,0.00,30.05,10.0,2.0,,,
56,2013-01-02 22:53:00,22:16,22:25,-9.0,American Airlines Inc.,-9.0,LAX,8.0,,0.00,30.05,10.0,2.0,,,
57,2013-01-02 23:53:00,23:03,23:25,-22.0,Virgin America,-24.0,LAX,7.0,,0.00,30.05,10.0,2.0,,,
58,2013-01-02 23:53:00,23:29,23:59,-30.0,JetBlue Airways,-23.0,LAX,7.0,,0.00,30.05,10.0,2.0,,,
59,2013-01-02 00:53:00,00:36,00:31,5.0,Delta Air Lines Inc.,5.0,LAX,0.0,,0.00,30.11,10.0,2.0,3.0,,
60,2013-01-02 00:53:00,00:36,00:50,-14.0,American Airlines Inc.,-15.0,LAX,0.0,,0.00,30.11,10.0,2.0,3.0,,
61,2013-01-03 08:53:00,09:13,09:16,-3.0,United Air Lines Inc.,14.0,LAX,3.0,,0.00,30.07,10.0,1.0,,,
62,2013-01-03 10:53:00,09:59,10:34,-35.0,Delta Air Lines Inc.,-39.0,LAX,3.0,,0.00,30.07,10.0,1.0,,,
63,2013-01-03 10:53:00,09:38,10:25,-47.0,Virgin America,-49.0,LAX,3.0,,0.00,30.07,10.0,1.0,,,
64,2013-01-03 09:53:00,09:37,10:14,-37.0,JetBlue Airways,-36.0,LAX,4.0,,0.00,30.07,10.0,1.0,,,
65,2013-01-03 10:53:00,10:14,11:00,-46.0,American Airlines Inc.,-46.0,LAX,3.0,,0.00,30.07,10.0,1.0,,,
66,2013-01-03 11:53:00,11:20,11:45,-25.0,United Air Lines Inc.,-29.0,LAX,3.0,,0.00,30.07,10.0,1.0,,,
67,2013-01-03 11:53:00,11:44,12:20,-36.0,American Airlines Inc.,-41.0,LAX,3.0,,0.00,30.07,10.0,1.0,,,
68,2013-01-03 12:53:00,11:55,12:25,-30.0,Virgin America,-32.0,LAX,0.0,,0.00,30.06,10.0,1.0,,,
69,2013-01-03 12:53:00,11:57,12:27,-30.0,Delta Air Lines Inc.,-35.0,LAX,0.0,,0.00,30.06,10.0,1.0,,,
70,2013-01-03 12:53:00,11:53,12:58,-65.0,JetBlue Airways,-69.0,LAX,0.0,,0.00,30.06,10.0,1.0,,,
71,2013-01-03 13:53:00,13:12,13:40,-28.0,American Airlines Inc.,-34.0,LAX,4.0,,0.00,30.08,10.0,1.0,,,
72,2013-01-03 14:53:00,14:07,14:50,-43.0,Virgin America,-49.0,LAX,4.0,,0.00,30.1,10.0,2.0,3.0,,
73,2013-01-03 14:53:00,13:57,14:45,-48.0,United Air Lines Inc.,-51.0,LAX,4.0,,0.00,30.1,10.0,2.0,3.0,,
74,2013-01-03 15:53:00,15:34,15:29,5.0,Delta Air Lines Inc.,38.0,LAX,3.0,,0.00,30.12,10.0,1.0,,,
75,2013-01-03 14:53:00,14:46,15:10,-24.0,American Airlines Inc.,-32.0,LAX,4.0,,0.00,30.1,10.0,2.0,3.0,,
76,2013-01-03 15:53:00,14:39,15:31,-52.0,JetBlue Airways,-59.0,LAX,3.0,,0.00,30.12,10.0,1.0,,,
77,2013-01-03 16:53:00,16:09,16:55,-46.0,Virgin America,-50.0,LAX,0.0,,0.00,30.14,10.0,1.0,,,
78,2013-01-03 16:53:00,16:52,17:05,-13.0,American Airlines Inc.,-18.0,LAX,0.0,,0.00,30.14,10.0,1.0,,,
79,2013-01-03 18:53:00,17:59,18:37,-38.0,Delta Air Lines Inc.,-44.0,LAX,0.0,,0.00,30.14,10.0,2.0,,,
80,2013-01-03 18:53:00,18:45,19:00,-15.0,United Air Lines Inc.,-8.0,LAX,0.0,,0.00,30.14,10.0,2.0,,,
81,2013-01-03 18:53:00,18:51,19:10,-19.0,American Airlines Inc.,-18.0,LAX,0.0,,0.00,30.14,10.0,2.0,,,
82,2013-01-03 19:53:00,18:53,19:52,-59.0,JetBlue Airways,-63.0,LAX,0.0,,0.00,30.11,10.0,2.0,,,
83,2013-01-03 19:53:00,20:17,20:05,12.0,American Airlines Inc.,47.0,LAX,0.0,,0.00,30.11,10.0,2.0,,,
84,2013-01-03 20:53:00,20:13,20:30,-17.0,Virgin America,9.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
85,2013-01-03 20:53:00,19:54,20:36,-42.0,Delta Air Lines Inc.,-43.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
86,2013-01-03 20:53:00,20:43,21:05,-22.0,United Air Lines Inc.,-24.0,LAX,0.0,,0.00,30.09,10.0,2.0,,,
87,2013-01-03 22:53:00,22:33,22:38,-5.0,Delta Air Lines Inc.,-7.0,LAX,10.0,,0.00,30.09,10.0,2.0,,,
88,2013-01-03 22:53:00,21:45,22:25,-40.0,American Airlines Inc.,-36.0,LAX,10.0,,0.00,30.09,10.0,2.0,,,
89,2013-01-03 23:53:00,23:03,23:25,-22.0,Virgin America,-3.0,LAX,8.0,,0.00,30.09,10.0,2.0,,,
90,2013-01-03 23:53:00,23:08,23:34,-26.0,United Air Lines Inc.,-33.0,LAX,8.0,,0.00,30.09,10.0,2.0,,,
91,2013-01-03 23:53:00,23:27,23:59,-32.0,JetBlue Airways,-11.0,LAX,8.0,,0.00,30.09,10.0,2.0,,,
92,2013-01-03 00:53:00,00:49,00:31,18.0,Delta Air Lines Inc.,32.0,LAX,3.0,,0.00,30.05,10.0,2.0,,,
93,2013-01-03 00:53:00,23:58,00:50,-52.0,American Airlines Inc.,-50.0,LAX,3.0,,0.00,30.05,10.0,2.0,,,
94,2013-01-04 08:53:00,08:46,09:16,-30.0,United Air Lines Inc.,-23.0,LAX,8.0,,0.00,30.18,10.0,1.0,,,
95,2013-01-04 10:53:00,10:13,10:34,-21.0,Delta Air Lines Inc.,-6.0,LAX,3.0,,0.00,30.19,10.0,1.0,,,
96,2013-01-04 09:53:00,10:01,10:14,-13.0,JetBlue Airways,8.0,LAX,5.0,,0.00,30.19,10.0,1.0,,,
97,2013-01-04 10:53:00,09:41,10:25,-44.0,Virgin America,-44.0,LAX,3.0,,0.00,30.19,10.0,1.0,,,
98,2013-01-04 10:53:00,10:24,11:00,-36.0,American Airlines Inc.,-38.0,LAX,3.0,,0.00,30.19,10.0,1.0,,,
99,2013-01-04 11:53:00,11:34,11:53,-19.0,United Air Lines Inc.,-14.0,LAX,4.0,,0.00,30.19,10.0,1.0,,,
100,2013-01-04 12:53:00,12:15,12:25,-10.0,Virgin America,-14.0,LAX,4.0,,0.00,30.2,10.0,1.0,,,
101,2013-01-04 11:53:00,12:10,12:20,-10.0,American Airlines Inc.,-12.0,LAX,4.0,,0.00,30.19,10.0,1.0,,,
102,2013-01-04 12:53:00,12:15,12:27,-12.0,Delta Air Lines Inc.,-14.0,LAX,4.0,,0.00,30.2,10.0,1.0,,,
103,2013-01-04 12:53:00,12:32,12:58,-26.0,JetBlue Airways,-10.0,LAX,4.0,,0.00,30.2,10.0,1.0,,,
104,2013-01-04 13:53:00,13:42,13:40,2.0,American Airlines Inc.,0.0,LAX,3.0,,0.00,30.21,10.0,1.0,,,
105,2013-01-04 14:53:00,14:13,14:50,-37.0,Virgin America,-37.0,LAX,3.0,,0.00,30.23,10.0,1.0,,,
106,2013-01-04 14:53:00,13:50,14:45,-55.0,United Air Lines Inc.,-67.0,LAX,3.0,,0.00,30.23,10.0,1.0,,,
107,2013-01-04 14:53:00,14:47,15:10,-23.0,American Airlines Inc.,-26.0,LAX,3.0,,0.00,30.23,10.0,1.0,,,
108,2013-01-04 15:53:00,14:51,15:29,-38.0,Delta Air Lines Inc.,-44.0,LAX,0.0,,0.00,30.25,10.0,1.0,,,
109,2013-01-04 15:53:00,14:57,15:31,-34.0,JetBlue Airways,-34.0,LAX,0.0,,0.00,30.25,10.0,1.0,,,
110,2013-01-04 16:53:00,16:21,16:55,-34.0,Virgin America,-36.0,LAX,3.0,,0.00,30.27,10.0,1.0,,,
111,2013-01-04 16:53:00,16:32,17:05,-33.0,American Airlines Inc.,-38.0,LAX,3.0,,0.00,30.27,10.0,1.0,,,
112,2013-01-04 18:53:00,18:24,18:37,-13.0,Delta Air Lines Inc.,-16.0,LAX,7.0,,0.00,30.26,10.0,1.0,,,
113,2013-01-04 18:53:00,18:40,19:00,-20.0,United Air Lines Inc.,-13.0,LAX,7.0,,0.00,30.26,10.0,1.0,,,
114,2013-01-04 18:53:00,20:01,19:10,51.0,American Airlines Inc.,129.0,LAX,7.0,,0.00,30.26,10.0,1.0,,,
115,2013-01-04 19:53:00,19:00,19:52,-52.0,JetBlue Airways,-54.0,LAX,3.0,,0.00,30.23,10.0,1.0,,,
116,2013-01-04 19:53:00,19:29,20:05,-36.0,American Airlines Inc.,-37.0,LAX,3.0,,0.00,30.23,10.0,1.0,,,
117,2013-01-04 20:53:00,20:10,20:30,-20.0,Virgin America,-1.0,LAX,0.0,,0.00,30.2,10.0,1.0,,,
118,2013-01-04 20:53:00,20:04,20:36,-32.0,Delta Air Lines Inc.,-37.0,LAX,0.0,,0.00,30.2,10.0,1.0,,,
119,2013-01-04 20:53:00,20:37,21:05,-28.0,United Air Lines Inc.,-25.0,LAX,0.0,,0.00,30.2,10.0,1.0,,,
120,2013-01-04 22:53:00,22:00,22:38,-38.0,Delta Air Lines Inc.,-39.0,LAX,8.0,,0.00,30.18,10.0,1.0,,,
121,2013-01-04 22:53:00,22:26,22:25,1.0,American Airlines Inc.,42.0,LAX,8.0,,0.00,30.18,10.0,1.0,,,
122,2013-01-04 23:53:00,23:17,23:25,-8.0,Virgin America,9.0,LAX,7.0,,0.00,30.18,10.0,1.0,,,
123,2013-01-04 23:53:00,22:54,23:34,-40.0,United Air Lines Inc.,-51.0,LAX,7.0,,0.00,30.18,10.0,1.0,,,
124,2013-01-04 23:53:00,23:42,23:59,-17.0,JetBlue Airways,-11.0,LAX,7.0,,0.00,30.18,10.0,1.0,,,
125,2013-01-04 00:53:00,23:49,00:31,-42.0,Delta Air Lines Inc.,-43.0,LAX,8.0,,0.00,30.09,10.0,2.0,,,
126,2013-01-04 00:53:00,00:05,00:50,-45.0,American Airlines Inc.,-50.0,LAX,8.0,,0.00,30.09,10.0,2.0,,,
127,2013-01-05 08:53:00,08:58,09:21,-23.0,United Air Lines Inc.,-27.0,LAX,0.0,,0.00,30.24,10.0,1.0,,,
128,2013-01-05 10:53:00,10:14,10:25,-11.0,Virgin America,-11.0,LAX,0.0,,0.00,30.26,10.0,1.0,,,
129,2013-01-05 11:53:00,12:00,11:54,6.0,United Air Lines Inc.,12.0,LAX,0.0,,0.00,30.25,10.0,1.0,,,
130,2013-01-05 11:53:00,12:06,12:20,-14.0,American Airlines Inc.,-23.0,LAX,0.0,,0.00,30.25,10.0,1.0,,,
131,2013-01-05 12:53:00,12:25,12:27,-2.0,Delta Air Lines Inc.,-5.0,LAX,3.0,,0.00,30.26,10.0,1.0,,,
132,2013-01-05 12:53:00,12:25,12:25,0.0,Virgin America,-3.0,LAX,3.0,,0.00,30.26,10.0,1.0,,,
133,2013-01-05 12:53:00,12:43,12:58,-15.0,JetBlue Airways,-17.0,LAX,3.0,,0.00,30.26,10.0,1.0,,,
134,2013-01-05 13:53:00,13:41,13:40,1.0,American Airlines Inc.,2.0,LAX,3.0,,0.00,30.27,10.0,1.0,,,
135,2013-01-05 14:53:00,14:34,14:45,-11.0,United Air Lines Inc.,-13.0,LAX,4.0,,0.00,30.28,10.0,2.0,,,
136,2013-01-05 14:53:00,14:55,14:50,5.0,Virgin America,17.0,LAX,4.0,,0.00,30.28,10.0,2.0,,,
137,2013-01-05 14:53:00,16:21,15:10,71.0,American Airlines Inc.,139.0,LAX,4.0,,0.00,30.28,10.0,2.0,,,
138,2013-01-05 15:53:00,14:56,15:29,-33.0,Delta Air Lines Inc.,-42.0,LAX,3.0,,0.00,30.29,10.0,2.0,,,
139,2013-01-05 15:53:00,15:30,15:31,-1.0,JetBlue Airways,-1.0,LAX,3.0,,0.00,30.29,10.0,2.0,,,
140,2013-01-05 16:53:00,16:44,16:55,-11.0,Virgin America,-8.0,LAX,5.0,,0.00,30.29,10.0,2.0,,,
141,2013-01-05 16:53:00,16:55,17:05,-10.0,American Airlines Inc.,-9.0,LAX,5.0,,0.00,30.29,10.0,2.0,,,
142,2013-01-05 18:53:00,19:16,18:37,39.0,Delta Air Lines Inc.,83.0,LAX,0.0,,0.00,30.28,10.0,2.0,3.0,,
143,2013-01-05 18:53:00,18:54,19:00,-6.0,United Air Lines Inc.,-11.0,LAX,0.0,,0.00,30.28,10.0,2.0,3.0,,
144,2013-01-05 18:53:00,18:54,19:10,-16.0,American Airlines Inc.,-22.0,LAX,0.0,,0.00,30.28,10.0,2.0,3.0,,
145,2013-01-05 19:53:00,19:28,19:52,-24.0,JetBlue Airways,-23.0,LAX,4.0,,0.00,30.24,10.0,2.0,3.0,,
146,2013-01-05 19:53:00,19:37,20:05,-28.0,American Airlines Inc.,-32.0,LAX,4.0,,0.00,30.24,10.0,2.0,3.0,,
147,2013-01-05 20:53:00,20:19,20:30,-11.0,Virgin America,-2.0,LAX,6.0,,0.00,30.21,10.0,2.0,3.0,3.0,
148,2013-01-05 20:53:00,20:28,20:40,-12.0,Delta Air Lines Inc.,2.0,LAX,6.0,,0.00,30.21,10.0,2.0,3.0,3.0,
149,2013-01-05 21:53:00,22:18,22:20,-2.0,United Air Lines Inc.,-5.0,LAX,7.0,,0.00,30.21,10.0,2.0,3.0,4.0,
150,2013-01-05 22:53:00,22:12,22:35,-23.0,Delta Air Lines Inc.,-23.0,LAX,9.0,,0.00,30.21,10.0,2.0,3.0,4.0,
151,2013-01-05 22:53:00,22:21,22:25,-4.0,American Airlines Inc.,-6.0,LAX,9.0,,0.00,30.21,10.0,2.0,3.0,4.0,
152,2013-01-05 23:53:00,23:30,23:25,5.0,Virgin America,13.0,LAX,5.0,,0.00,30.2,10.0,2.0,3.0,4.0,
153,2013-01-05 23:53:00,23:42,23:59,-17.0,JetBlue Airways,-12.0,LAX,5.0,,0.00,30.2,10.0,2.0,3.0,4.0,
154,2013-01-05 00:53:00,01:00,00:50,10.0,American Airlines Inc.,21.0,LAX,7.0,,0.00,30.19,10.0,1.0,,,
155,2013-01-06 09:53:00,10:01,10:14,-13.0,JetBlue Airways,-17.0,LAX,3.0,,T,30.19,7.0,4.0,5.0,,
156,2013-01-06 10:53:00,09:58,10:25,-27.0,Virgin America,-31.0,LAX,0.0,,0.05,30.2,2.5,3.0,4.0,5.0,
157,2013-01-06 10:53:00,10:53,11:00,-7.0,American Airlines Inc.,-7.0,LAX,0.0,,0.05,30.2,2.5,3.0,4.0,5.0,
158,2013-01-06 11:53:00,11:59,11:54,5.0,United Air Lines Inc.,13.0,LAX,5.0,,0.07,30.19,4.0,3.0,3.0,5.0,
159,2013-01-06 12:53:00,12:10,12:27,-17.0,Delta Air Lines Inc.,-19.0,LAX,0.0,,0.01,30.19,6.0,3.0,4.0,,
160,2013-01-06 12:53:00,12:27,12:25,2.0,Virgin America,0.0,LAX,0.0,,0.01,30.19,6.0,3.0,4.0,,
161,2013-01-06 11:53:00,12:34,12:20,14.0,American Airlines Inc.,19.0,LAX,5.0,,0.07,30.19,4.0,3.0,3.0,5.0,
162,2013-01-06 12:53:00,12:59,12:58,1.0,JetBlue Airways,10.0,LAX,0.0,,0.01,30.19,6.0,3.0,4.0,,
163,2013-01-06 13:53:00,13:35,13:40,-5.0,American Airlines Inc.,-8.0,LAX,3.0,,0.00,30.19,4.0,3.0,3.0,,
164,2013-01-06 14:53:00,14:35,14:37,-2.0,United Air Lines Inc.,-3.0,LAX,4.0,,0.00,30.2,5.0,3.0,4.0,,
165,2013-01-06 14:53:00,14:38,14:50,-12.0,Virgin America,-11.0,LAX,4.0,,0.00,30.2,5.0,3.0,4.0,,
166,2013-01-06 15:53:00,15:00,15:29,-29.0,Delta Air Lines Inc.,-36.0,LAX,3.0,,T,30.2,6.0,2.0,3.0,4.0,
167,2013-01-06 14:53:00,15:03,15:10,-7.0,American Airlines Inc.,-9.0,LAX,4.0,,0.00,30.2,5.0,3.0,4.0,,
168,2013-01-06 15:53:00,15:18,15:31,-13.0,JetBlue Airways,-18.0,LAX,3.0,,T,30.2,6.0,2.0,3.0,4.0,
169,2013-01-06 16:53:00,16:34,16:55,-21.0,Virgin America,-24.0,LAX,3.0,,T,30.21,6.0,2.0,3.0,3.0,
170,2013-01-06 16:53:00,17:04,17:05,-1.0,American Airlines Inc.,-4.0,LAX,3.0,,T,30.21,6.0,2.0,3.0,3.0,
171,2013-01-06 18:53:00,18:34,18:37,-3.0,Delta Air Lines Inc.,-3.0,LAX,7.0,,0.00,30.18,10.0,2.0,3.0,3.0,
172,2013-01-06 18:53:00,18:44,18:54,-10.0,United Air Lines Inc.,-10.0,LAX,7.0,,0.00,30.18,10.0,2.0,3.0,3.0,
173,2013-01-06 18:53:00,18:51,19:10,-19.0,American Airlines Inc.,-20.0,LAX,7.0,,0.00,30.18,10.0,2.0,3.0,3.0,
174,2013-01-06 19:53:00,19:36,19:52,-16.0,JetBlue Airways,-15.0,LAX,11.0,,0.00,30.16,10.0,4.0,,,
175,2013-01-06 19:53:00,19:52,20:05,-13.0,American Airlines Inc.,-15.0,LAX,11.0,,0.00,30.16,10.0,4.0,,,
176,2013-01-06 20:53:00,19:55,20:30,-35.0,Virgin America,-37.0,LAX,14.0,,0.00,30.13,10.0,3.0,3.0,,
177,2013-01-06 20:53:00,20:25,20:36,-11.0,Delta Air Lines Inc.,-14.0,LAX,14.0,,0.00,30.13,10.0,3.0,3.0,,
178,2013-01-06 20:53:00,20:41,21:03,-22.0,United Air Lines Inc.,-27.0,LAX,14.0,,0.00,30.13,10.0,3.0,3.0,,
179,2013-01-06 22:53:00,22:19,22:38,-19.0,Delta Air Lines Inc.,-21.0,LAX,19.0,,0.00,30.09,10.0,2.0,3.0,,
180,2013-01-06 22:53:00,22:07,22:25,-18.0,American Airlines Inc.,-27.0,LAX,19.0,,0.00,30.09,10.0,2.0,3.0,,
181,2013-01-06 23:53:00,23:09,23:25,-16.0,Virgin America,-5.0,LAX,10.0,,0.00,30.08,10.0,3.0,4.0,,
182,2013-01-06 23:53:00,22:53,23:29,-36.0,United Air Lines Inc.,-40.0,LAX,10.0,,0.00,30.08,10.0,3.0,4.0,,
183,2013-01-06 23:53:00,23:37,23:57,-20.0,JetBlue Airways,-24.0,LAX,10.0,,0.00,30.08,10.0,3.0,4.0,,
184,2013-01-06 00:53:00,00:18,00:31,-13.0,Delta Air Lines Inc.,-20.0,LAX,5.0,,0.00,30.19,10.0,4.0,4.0,,
185,2013-01-06 00:53:00,00:50,00:50,0.0,American Airlines Inc.,6.0,LAX,5.0,,0.00,30.19,10.0,4.0,4.0,,
186,2013-01-07 08:53:00,09:02,09:18,-16.0,United Air Lines Inc.,3.0,LAX,0.0,,0.00,30.03,10.0,2.0,3.0,3.0,
187,2013-01-07 10:53:00,09:34,10:25,-51.0,Virgin America,-59.0,LAX,8.0,,0.00,30.02,10.0,2.0,3.0,,
188,2013-01-07 10:53:00,09:45,10:34,-49.0,Delta Air Lines Inc.,-51.0,LAX,8.0,,0.00,30.02,10.0,2.0,3.0,,
189,2013-01-07 10:53:00,09:44,10:27,-43.0,JetBlue Airways,-39.0,LAX,8.0,,0.00,30.02,10.0,2.0,3.0,,
